FileName	P	Q	R	W	X	Y	Z
FileName	P	Q	R	W	X	Y	Z
seq5/frame00065.png	0.566549	-0.419474	0.416543	0.574069	28.599790	26.411832	1.151268
seq5/frame00066.png	0.553972	-0.433892	0.430768	0.565059	28.870702	27.176538	1.135041
seq5/frame00064.png	0.551178	-0.422271	0.410525	0.591065	28.726841	25.814156	1.134578
seq5/frame00063.png	0.574177	-0.396780	0.406613	0.589535	28.176684	24.713689	1.261693
seq5/frame00062.png	0.575220	-0.400989	0.389172	0.597390	28.483711	24.081751	1.241094
seq5/frame00061.png	0.575208	-0.378719	0.383012	0.615638	28.379210	23.395967	1.255948
seq5/frame00060.png	0.578186	-0.370365	0.374406	0.623178	28.447152	22.558442	1.283604
seq5/frame00059.png	0.603419	-0.360072	0.360950	0.613147	28.364364	21.863491	1.262303
seq5/frame00058.png	0.577008	-0.376881	0.392963	0.608771	28.430042	20.929407	1.306095
seq5/frame00067.png	0.587466	-0.358104	0.381790	0.617156	28.562886	27.850651	1.151578
seq5/frame00057.png	0.549096	-0.422270	0.424819	0.582847	28.701576	20.362618	1.254071
seq5/frame00056.png	0.527105	-0.426894	0.468130	0.566371	28.908024	19.612167	1.234225
seq5/frame00052.png	0.549359	-0.427110	0.431762	0.573902	29.507390	18.184528	0.037864
seq5/frame00053.png	0.527369	-0.456250	0.437831	0.567469	29.197192	17.817501	1.250978
seq5/frame00054.png	0.498140	-0.472902	0.477285	0.548104	29.100460	18.175706	1.167389
seq5/frame00055.png	0.490357	-0.485777	0.503269	0.519895	28.585921	19.048765	1.242542
seq5/frame00051.png	0.561507	-0.423739	0.406132	0.583277	30.144087	16.481984	1.342704
seq5/frame00050.png	0.588012	-0.364674	0.366528	0.622023	30.297537	15.806597	1.407018
seq5/frame00049.png	0.610309	-0.342174	0.317053	0.640248	30.463044	15.063356	1.312505
seq5/frame00373.png	0.394995	-0.493785	0.505183	0.587321	29.073805	14.405763	1.452871
seq5/frame00048.png	0.609073	-0.304032	0.278047	0.677705	30.994510	14.598354	1.431246
seq5/frame00068.png	0.630259	-0.296736	0.301008	0.651241	28.500190	28.418849	1.134805
seq5/frame00047.png	0.643378	-0.245625	0.232994	0.686619	31.456705	13.934816	1.431204
seq5/frame00069.png	0.658845	-0.241275	0.253641	0.665864	28.661875	29.147028	1.186598
seq5/frame00070.png	0.676479	-0.207600	0.208078	0.675264	28.543727	30.099367	1.163899
seq5/frame00071.png	0.693934	-0.128710	0.146777	0.693070	28.840841	30.589372	0.926627
seq5/frame00077.png	0.692673	-0.177004	0.162296	0.680099	27.321087	34.476823	1.949180
seq5/frame00084.png	0.677108	-0.144547	0.143190	0.707197	27.624605	39.930721	0.783129
seq5/frame00085.png	0.692354	-0.128080	0.106563	0.702058	27.772708	40.429746	1.355514
seq5/frame00083.png	0.652861	-0.211326	0.212767	0.695589	27.668727	39.582538	1.171846
