FileName	P	Q	R	W	X	Y	Z
FileName	P	Q	R	W	X	Y	Z
seq8/frame00064.png	0.543983	-0.314596	0.372154	0.683091	-9.123465	-13.208417	1.722406
seq8/frame00067.png	0.574950	-0.318636	0.349387	0.667707	-11.154630	-12.557269	1.575887
seq8/frame00066.png	0.599942	-0.303088	0.342000	0.656691	-10.433090	-12.829650	1.589558
seq8/frame00069.png	0.579037	-0.330542	0.351880	0.656992	-12.426964	-12.163094	1.637267
seq8/frame00068.png	0.566610	-0.312325	0.336760	0.684104	-11.817493	-12.463059	1.558782
seq8/frame00070.png	0.560828	-0.333409	0.387075	0.651524	-13.204522	-12.134597	1.605659
seq8/frame00071.png	0.583777	-0.336115	0.388866	0.628502	-13.870811	-11.899200	1.616058
seq8/frame00072.png	0.563581	-0.331672	0.378310	0.655173	-14.488044	-11.803976	1.584538
seq8/frame00073.png	0.572125	-0.334536	0.384678	0.642480	-15.022460	-11.559649	1.665855
seq8/frame00065.png	0.586926	-0.287098	0.334004	0.679363	-9.923881	-12.997443	1.685706
seq8/frame00074.png	0.535549	-0.376166	0.388617	0.648586	-15.728861	-11.511325	1.742264
seq8/frame00075.png	0.534713	-0.356183	0.375712	0.667875	-16.384337	-11.334984	1.763743
seq8/frame00076.png	0.536738	-0.388504	0.391923	0.638258	-17.209191	-11.292071	1.704414
seq8/frame00077.png	0.554567	-0.335084	0.388517	0.655155	-17.808503	-10.948638	1.698630
seq8/frame00078.png	0.570220	-0.327319	0.397409	0.640138	-18.562978	-10.951365	1.683930
seq8/frame00079.png	0.574442	-0.326800	0.376295	0.649323	-19.236192	-10.825641	1.470857
seq8/frame00063.png	0.538152	-0.357141	0.382209	0.660878	-8.653499	-13.793796	1.817214
seq8/frame00062.png	0.540065	-0.332424	0.362517	0.682939	-7.989648	-14.035198	1.927510
seq8/frame00061.png	0.549339	-0.310535	0.329955	0.702086	-7.419500	-14.408672	1.943574
seq8/frame00060.png	0.556432	-0.288530	0.320020	0.710437	-6.808716	-14.776994	1.956396
seq8/frame00059.png	0.551404	-0.285048	0.295200	0.726332	-6.225628	-15.227215	1.842388
