FileName	X	Y	Z	W	P	Q	R
FileName	X	Y	Z	W	P	Q	R
seq5/frame00065.png	28.599790	-1.151272	26.411840	0.806539	-0.005317	-0.591154	-0.002073
seq5/frame00066.png	28.870700	-1.135044	27.176540	0.791274	-0.007840	-0.611407	-0.002209
seq5/frame00064.png	28.726840	-1.134583	25.814160	0.807688	-0.028204	-0.588876	-0.008306
seq5/frame00063.png	28.176680	-1.261698	24.713690	0.822869	-0.010860	-0.568085	0.006953
seq5/frame00062.png	28.483710	-1.241098	24.081750	0.829161	-0.015677	-0.558728	-0.008356
seq5/frame00061.png	28.379210	-1.255949	23.395970	0.842055	-0.028588	-0.538625	0.003036
seq5/frame00060.png	28.447150	-1.283606	22.558440	0.849493	-0.031814	-0.526633	0.002857
seq5/frame00059.png	28.364360	-1.262304	21.863490	0.860242	-0.006879	-0.509839	0.000621
seq5/frame00058.png	28.430040	-1.306097	20.929410	0.838473	-0.022460	-0.544362	0.011372
seq5/frame00067.png	28.562890	-1.151583	27.850650	0.851796	-0.020994	-0.523184	0.016749
seq5/frame00057.png	28.701580	-1.254072	20.362620	0.800405	-0.023866	-0.598983	0.001802
seq5/frame00056.png	28.908020	-1.234226	19.612170	0.773204	-0.027765	-0.632878	0.029158
seq5/frame00052.png	29.507390	-0.037867	18.184530	0.794266	-0.017355	-0.607314	0.003289
seq5/frame00053.png	29.197190	-1.250980	17.817500	0.774168	-0.028355	-0.632211	-0.013024
seq5/frame00054.png	29.100460	-1.167391	18.175710	0.739807	-0.035330	-0.671884	0.003099
seq5/frame00055.png	28.585920	-1.242544	19.048770	0.714356	-0.020887	-0.699361	0.012369
seq5/frame00051.png	30.144090	-1.342707	16.481990	0.809485	-0.015394	-0.586808	-0.012450
seq5/frame00050.png	30.297540	-1.407021	15.806600	0.855624	-0.024049	-0.517038	0.001311
seq5/frame00049.png	30.463040	-1.312508	15.063360	0.884277	-0.021170	-0.466144	-0.017763
seq5/frame00373.png	29.073800	-1.452873	14.405760	0.694602	-0.135995	-0.706377	0.008060
seq5/frame00048.png	30.994510	-1.431248	14.598360	0.909890	-0.048530	-0.411592	-0.018374
seq5/frame00068.png	28.500190	-1.134809	28.418850	0.906158	-0.014837	-0.422669	0.003021
seq5/frame00047.png	31.456710	-1.431206	13.934820	0.940451	-0.030576	-0.338435	-0.008931
seq5/frame00069.png	28.661870	-1.186602	29.147030	0.936711	-0.004963	-0.349959	0.008744
seq5/frame00070.png	28.543730	-1.163902	30.099370	0.955827	0.000859	-0.293929	0.000338
seq5/frame00071.png	28.840840	-0.926630	30.589380	0.980760	0.000611	-0.194799	0.012775
seq5/frame00077.png	27.321090	-1.949184	34.476830	0.970696	0.008891	-0.239921	-0.010400
seq5/frame00084.png	27.624610	-0.783135	39.930730	0.978852	-0.021276	-0.203461	-0.000960
seq5/frame00085.png	27.772710	-1.355518	40.429750	0.985998	-0.006862	-0.165918	-0.015215
seq5/frame00083.png	27.668730	-1.171848	39.582540	0.953498	-0.030213	-0.299879	0.001019
seq5/frame00086.png	28.113870	-1.202194	41.056600	0.996851	-0.017232	-0.076109	-0.014110
seq5/frame00092.png	30.447690	-1.051403	44.929350	0.998747	-0.030425	-0.037173	-0.014060
seq5/frame00093.png	30.374660	-1.665722	45.543090	0.984994	-0.020209	-0.171394	-0.001592
seq5/frame00094.png	30.390610	-1.490463	46.148150	0.953371	-0.035202	-0.299723	0.003167
seq5/frame00078.png	27.732300	-1.329765	34.926600	0.919257	-0.005220	-0.393529	-0.008576
seq5/frame00082.png	27.483500	-0.872440	38.893960	0.923858	-0.015743	-0.382150	0.014190
seq5/frame00076.png	26.705340	-2.029575	33.914170	0.997186	0.016015	-0.073231	-0.001065
seq5/frame00072.png	27.454070	-0.918825	31.211860	0.997134	0.015886	-0.073581	-0.007629
seq5/frame00095.png	30.059030	-1.615311	46.951400	0.904747	-0.032142	-0.424535	0.013043
seq5/frame00096.png	29.933860	-1.186459	47.593420	0.849933	-0.018861	-0.526553	-0.000448
seq5/frame00097.png	30.306550	-1.099384	48.624040	0.822289	-0.019520	-0.568167	0.025401
seq5/frame00098.png	30.236240	-1.122082	49.631830	0.797824	-0.009716	-0.602591	0.016348
seq5/frame00099.png	30.323650	-1.143223	49.564390	0.766337	-0.020291	-0.641547	0.027089
seq5/frame00374.png	28.681600	-1.190069	14.127720	0.890797	-0.148805	-0.428282	-0.030196
seq5/frame00375.png	28.689730	0.193937	14.129090	0.970185	-0.140629	-0.185233	-0.068210
seq5/frame00046.png	31.565800	-1.425699	12.920950	0.957337	-0.028965	-0.287355	-0.009692
seq5/frame00045.png	31.759140	-1.409169	12.309000	0.962608	-0.019310	-0.270155	-0.005362
seq5/frame00044.png	31.891670	-1.429188	11.561560	0.954416	-0.023465	-0.297549	-0.002049
seq5/frame00363.png	30.632570	-1.408320	9.474913	0.915494	-0.124010	-0.381715	-0.028050
seq5/frame00361.png	31.311970	-1.472966	8.311859	0.735833	-0.091840	-0.670570	0.021262
seq5/frame00075.png	27.599750	-0.951084	33.428350	0.999360	0.010679	0.032846	-0.009354
seq5/frame00073.png	28.379120	-1.110126	31.912660	0.998940	0.008789	0.044141	0.009668
seq5/frame00074.png	27.899330	-1.126122	32.631750	0.993082	0.013513	0.115963	0.012559
seq5/frame00087.png	28.575250	-1.762978	41.093990	0.995601	-0.004557	0.088275	-0.031062
seq5/frame00042.png	32.071420	-1.425633	10.276030	0.943798	-0.006771	-0.330438	0.003130
seq5/frame00364.png	30.073690	-1.498590	9.912994	0.955937	-0.110418	-0.268301	-0.044793
seq5/frame00041.png	32.157890	-1.423344	9.465014	0.914652	-0.016918	-0.403798	0.008523
seq5/frame00384.png	27.123170	-1.346355	11.724650	0.891701	-0.089699	-0.439301	0.061950
seq5/frame00081.png	27.754420	-1.072399	37.604470	0.864430	-0.001602	-0.502743	0.002853
seq5/frame00080.png	27.754770	-1.046585	36.924990	0.825180	0.000670	-0.564452	0.021719
seq5/frame00079.png	27.363730	-1.023983	36.178710	0.861615	0.001483	-0.506155	-0.037739
seq5/frame00043.png	31.866530	-1.416154	10.761580	0.964373	-0.019207	-0.263393	0.015517
seq5/frame00036.png	33.438420	-1.459071	6.739333	0.914879	-0.031974	-0.402345	-0.009636
seq5/frame00037.png	32.741030	-1.458843	6.980890	0.924741	-0.020418	-0.379905	0.010472
seq5/frame00038.png	32.645080	-1.447132	7.783090	0.897502	-0.013366	-0.440766	-0.006035
seq5/frame00039.png	32.477040	-1.440370	8.413033	0.884405	-0.029234	-0.465699	0.009902
seq5/frame00040.png	32.128700	-1.463793	8.741508	0.858653	-0.013844	-0.512367	-0.001816
seq5/frame00360.png	31.546390	-1.452611	7.548905	0.641417	-0.078779	-0.762294	0.035857
seq5/frame00358.png	31.600670	-1.240128	6.482815	0.682094	-0.101695	-0.722867	0.043229
seq5/frame00357.png	32.189090	-1.383213	5.656292	0.703057	-0.103697	-0.702316	0.041362
seq5/frame00356.png	32.721510	-1.407771	5.007270	0.712078	-0.074232	-0.696092	0.053765
seq5/frame00359.png	32.067260	-1.341738	6.856346	0.606072	-0.066488	-0.790517	0.057782
seq5/frame00355.png	33.237980	-1.432461	4.190008	0.724720	-0.085746	-0.682654	0.037579
seq5/frame00354.png	33.922420	-1.397492	3.554177	0.763571	-0.064543	-0.641674	0.032378
seq5/frame00353.png	34.057150	-1.386547	2.874172	0.762665	-0.076423	-0.640804	0.043264
seq5/frame00352.png	34.610300	-0.442732	3.290049	0.816304	-0.048095	-0.574272	0.039322
seq5/frame00351.png	35.130540	-1.484355	1.944150	0.820622	-0.053042	-0.567422	0.042407
seq5/frame00362.png	30.636720	-1.503167	8.622753	0.831917	-0.119024	-0.541874	-0.010999
seq5/frame00033.png	34.867770	-1.486803	5.602234	0.931947	-0.009008	-0.362418	-0.006884
seq5/frame00032.png	35.657380	-1.453668	5.687317	0.928468	-0.021851	-0.370670	-0.008603
seq5/frame00031.png	36.208610	-1.473408	5.445620	0.931420	-0.008673	-0.363834	0.002682
seq5/frame00030.png	36.869300	-1.357936	5.371636	0.927169	-0.013648	-0.374363	-0.004876
seq5/frame00034.png	34.255250	-1.470806	5.831930	0.920294	-0.027012	-0.390258	-0.005257
seq5/frame00035.png	33.495870	-1.482191	5.886955	0.920798	-0.024992	-0.389151	0.008272
seq5/frame00382.png	28.213970	-1.248907	13.179720	0.667408	-0.039941	-0.741732	0.052974
seq5/frame00383.png	27.221540	-1.237951	13.122240	0.787240	-0.069068	-0.608783	0.069758
seq5/frame00396.png	22.808030	-1.478415	5.800204	0.928207	-0.093630	-0.358015	0.038613
seq5/frame00397.png	21.979420	-1.565472	5.850161	0.908631	-0.099012	-0.403208	0.044828
seq5/frame00398.png	21.153790	-1.501199	5.865340	0.932479	-0.101340	-0.344061	0.042842
seq5/frame00399.png	20.407950	-1.512005	5.861337	0.909315	-0.085257	-0.402357	0.063136
seq5/frame00372.png	29.689220	-1.641835	13.852110	0.529341	-0.125526	-0.837841	0.045433
seq5/frame00100.png	30.457770	-1.081718	50.606730	0.676612	-0.004949	-0.736219	0.012381
seq5/frame00101.png	30.822670	-1.101128	51.183960	0.598174	-0.021227	-0.799948	0.042666
seq5/frame00102.png	30.946720	-1.079277	51.934760	0.557173	0.004523	-0.829912	0.027991
seq5/frame00103.png	31.355630	-1.118015	52.467830	0.515019	-0.031135	-0.856601	0.004629
seq5/frame00104.png	31.424790	-1.101185	53.288880	0.465173	0.006724	-0.884571	0.033232
seq5/frame00105.png	31.896320	-1.061333	53.738390	0.475730	-0.008825	-0.879024	0.030333
seq5/frame00106.png	31.921520	-1.053761	54.588290	0.467338	0.001154	-0.883327	0.036437
seq5/frame00107.png	31.999260	-0.999767	55.303890	0.458747	-0.006153	-0.887827	0.035734
seq5/frame00109.png	32.290490	-0.924480	56.868890	0.458142	-0.041079	-0.887216	0.035581
seq5/frame00110.png	32.043130	-0.939888	57.715970	0.455467	-0.046030	-0.888204	0.039041
seq5/frame00111.png	32.219330	-0.981796	58.264420	0.454871	-0.038803	-0.888436	0.047624
seq5/frame00108.png	31.699230	-1.054268	56.460430	0.461628	-0.018381	-0.886195	0.034942
seq5/frame00112.png	31.694610	-0.922272	59.412370	0.514292	-0.031109	-0.854691	0.063556
seq5/frame00113.png	32.026500	-0.563225	60.926480	0.618603	-0.015241	-0.784933	0.031280
seq5/frame00114.png	31.323530	-0.927784	60.753670	0.673482	-0.014651	-0.738582	0.026530
seq5/frame00115.png	31.212330	-0.924809	61.509100	0.678560	-0.016181	-0.734307	0.009373
seq5/frame00116.png	31.198020	-0.857956	62.431240	0.695105	-0.019944	-0.718401	0.018232
seq5/frame00117.png	31.029590	-0.852398	63.048640	0.693849	-0.012511	-0.720004	0.003361
seq5/frame00118.png	31.384400	-0.915882	63.827440	0.657072	-0.032363	-0.752796	0.022521
seq5/frame00119.png	31.141100	-1.035881	64.282390	0.590517	-0.016931	-0.806691	0.015908
seq5/frame00120.png	31.380180	-0.928589	64.927040	0.570473	-0.013847	-0.821199	-0.000927
seq5/frame00121.png	31.342560	-0.908554	65.605890	0.488067	-0.008004	-0.872560	0.019135
seq5/frame00395.png	23.454350	-1.550157	5.516418	0.949443	-0.103333	-0.295007	0.029184
seq5/frame00029.png	37.452720	-1.396305	5.422259	0.954334	0.001879	-0.298724	-0.002695
