FileName	X	Y	Z	W	P	Q	R
FileName	X	Y	Z	W	P	Q	R
seq8/frame00064.png	24.862550	-201.722400	-32.042550	0.744520	-0.070854	0.659059	-0.079446
seq8/frame00067.png	26.046800	-201.575900	-33.816580	0.735651	-0.042153	0.673827	-0.054753
seq8/frame00066.png	25.651680	-201.589600	-33.154240	0.723599	-0.039206	0.688504	-0.028813
seq8/frame00069.png	26.797160	-201.637300	-34.917110	0.743718	-0.032418	0.666046	-0.047066
seq8/frame00068.png	26.506920	-201.558800	-34.302950	0.724887	-0.043703	0.683621	-0.072739
seq8/frame00070.png	27.387940	-201.605700	-35.423460	0.763608	-0.056970	0.641366	-0.048035
seq8/frame00071.png	27.762840	-201.616100	-36.022460	0.766593	-0.045642	0.640269	-0.017559
seq8/frame00072.png	28.186610	-201.584500	-36.481220	0.758089	-0.052487	0.648088	-0.050272
seq8/frame00073.png	28.452750	-201.665900	-37.005120	0.763285	-0.049875	0.643167	-0.035277
seq8/frame00065.png	25.357630	-201.685700	-32.705930	0.709837	-0.052863	0.700542	-0.050773
seq8/frame00074.png	28.975500	-201.742300	-37.482680	0.786602	-0.034664	0.612202	-0.072558
seq8/frame00075.png	29.378700	-201.763700	-38.028730	0.768949	-0.044081	0.632188	-0.084342
seq8/frame00076.png	29.997520	-201.704400	-38.575800	0.794915	-0.025950	0.602454	-0.066975
seq8/frame00077.png	30.252750	-201.698600	-39.217660	0.765076	-0.059120	0.638884	-0.054693
seq8/frame00078.png	30.844910	-201.683900	-39.685200	0.765976	-0.063090	0.639046	-0.030335
seq8/frame00079.png	31.293500	-201.470900	-40.202680	0.754660	-0.050498	0.653039	-0.038450
seq8/frame00063.png	24.859170	-201.817200	-31.291870	0.773096	-0.045346	0.628074	-0.076084
seq8/frame00062.png	24.489910	-201.927500	-30.689690	0.749039	-0.053397	0.654432	-0.088363
seq8/frame00061.png	24.276200	-201.943600	-30.042470	0.719315	-0.048574	0.686099	-0.097442
seq8/frame00060.png	24.027480	-201.956400	-29.374000	0.701593	-0.056925	0.703855	-0.095468
seq8/frame00059.png	23.851430	-201.842400	-28.658670	0.685233	-0.047558	0.717708	-0.114410
seq8/frame00058.png	23.422890	-202.052000	-28.125840	0.669615	-0.046515	0.727843	-0.140345
seq6/frame00178.png	24.085410	-201.700000	-29.016310	0.724594	-0.067223	0.664249	-0.170936
seq6/frame00179.png	24.383920	-201.399100	-29.577500	0.723828	-0.047872	0.660909	-0.192303
seq6/frame00180.png	25.030350	-201.556100	-30.088130	0.712193	-0.064522	0.676440	-0.176203
seq6/frame00177.png	23.693640	-201.535300	-28.305630	0.730975	-0.059168	0.659370	-0.165545
seq6/frame00185.png	27.489920	-201.619100	-32.271690	0.738118	-0.086925	0.657034	-0.126227
seq6/frame00186.png	27.772860	-201.674300	-32.800380	0.761155	-0.069982	0.629722	-0.138548
