FileName	X	Y	Z	W	P	Q	R
FileName	X	Y	Z	W	P	Q	R
seq12/frame00002.png	26.824120	199.570400	-33.569230	0.986894	-0.058949	0.146606	-0.032748
seq12/frame00006.png	27.682550	199.616500	-32.375990	0.981649	-0.103438	0.154009	-0.044138
seq12/frame00003.png	26.837820	199.589200	-33.547390	0.987116	-0.059486	0.145083	-0.031861
seq12/frame00004.png	27.027640	199.609700	-33.434490	0.987827	-0.059070	0.141286	-0.027319
seq12/frame00001.png	26.812520	199.536100	-33.617160	0.986449	-0.057973	0.149573	-0.034435
seq12/frame00005.png	27.364020	199.791800	-32.961530	0.985024	-0.086716	0.137199	-0.058187
seq12/frame00007.png	28.078760	199.653500	-31.904940	0.974148	-0.142668	0.163624	-0.062519
seq12/frame00008.png	28.455220	199.674700	-31.415520	0.961555	-0.145784	0.219587	-0.077082
seq1/frame00098.png	29.449340	200.029900	-23.051850	0.929133	-0.149854	0.326909	-0.085938
seq1/frame00097.png	29.082540	200.012200	-23.713200	0.929570	-0.157301	0.316957	-0.103413
seq1/frame00099.png	29.762770	200.103500	-22.529460	0.911689	-0.178701	0.359901	-0.085794
seq1/frame00100.png	30.167250	200.115300	-21.892410	0.912663	-0.170704	0.361233	-0.086123
seq2/frame00162.png	33.723390	200.109400	-22.036370	0.905029	-0.167467	0.390795	-0.012580
seq2/frame00163.png	33.882040	200.229700	-21.389020	0.899902	-0.158270	0.405784	-0.021589
seq2/frame00164.png	34.313680	200.135000	-20.607130	0.902739	-0.151255	0.401515	-0.031165
seq2/frame00165.png	34.552560	200.127900	-20.068390	0.894829	-0.149564	0.419269	-0.033536
seq1/frame00102.png	30.904680	200.113300	-20.612970	0.898460	-0.171443	0.399574	-0.060983
seq12/frame00022.png	28.830450	199.959800	-23.982770	0.970315	-0.129261	0.200181	-0.041322
seq12/frame00021.png	29.251960	200.404900	-23.997400	0.970823	-0.114208	0.198984	-0.069748
seq12/frame00020.png	30.065150	200.440400	-24.589280	0.980189	-0.076051	0.170257	-0.066780
