FileName	P	Q	R	W	X	Y	Z
FileName	P	Q	R	W	X	Y	Z
seq12/frame00002.png	-0.001114	0.927980	-0.067425	0.366483	29.026684	-0.429609	57.662780
seq12/frame00006.png	-0.013494	0.927139	-0.111649	0.357450	27.564092	-0.383514	57.809584
seq12/frame00003.png	-0.002151	0.927411	-0.067447	0.367913	29.000915	-0.410777	57.663726
seq12/frame00004.png	-0.005876	0.926126	-0.064816	0.371557	28.808236	-0.390273	57.771658
seq12/frame00001.png	0.000835	0.929076	-0.067424	0.363691	29.073991	-0.463922	57.676704
seq12/frame00005.png	0.007033	0.921658	-0.104192	0.373696	28.230454	-0.208156	57.826496
seq12/frame00007.png	-0.017191	0.925449	-0.154813	0.345372	26.958042	-0.346486	57.917187
seq12/frame00008.png	-0.006137	0.942530	-0.164795	0.290611	26.345964	-0.325265	57.998502
seq1/frame00098.png	-0.000503	0.968116	-0.172748	0.181457	18.605753	0.029874	54.677599
seq1/frame00097.png	0.010908	0.963522	-0.187935	0.190295	19.361896	0.012192	54.690616
seq1/frame00099.png	-0.015051	0.969525	-0.197663	0.144166	17.996629	0.103530	54.687848
seq1/frame00100.png	-0.010767	0.971014	-0.190897	0.143496	17.242693	0.115301	54.719607
seq2/frame00162.png	-0.072842	0.979213	-0.151326	0.114081	15.589299	0.109400	57.871301
seq2/frame00163.png	-0.060440	0.982254	-0.147864	0.098535	14.949350	0.229715	57.685020
seq2/frame00164.png	-0.048639	0.982575	-0.146577	0.103650	14.056399	0.134974	57.667887
seq2/frame00165.png	-0.045740	0.984597	-0.146297	0.084319	13.470393	0.127942	57.605393
seq1/frame00102.png	-0.032910	0.977902	-0.178970	0.103192	15.765947	0.113249	54.718518
seq12/frame00022.png	-0.028845	0.940409	-0.132604	0.311796	19.721395	-0.040166	54.607091
seq12/frame00021.png	0.003300	0.940249	-0.133781	0.313087	19.523317	0.404936	54.979447
seq12/frame00020.png	0.019808	0.933997	-0.099252	0.342648	19.629297	0.440398	55.979627
seq12/frame00019.png	-0.006882	0.939522	-0.081242	0.332651	19.895007	0.119717	56.551710
seq12/frame00018.png	0.033759	0.949834	-0.062549	0.304585	20.346562	0.020351	57.087995
seq12/frame00017.png	0.019123	0.964206	-0.068843	0.255363	20.818314	0.057112	57.673894
seq12/frame00016.png	0.022424	0.951944	-0.073741	0.296417	21.362206	0.009061	57.964353
seq12/frame00015.png	0.019473	0.942620	-0.057558	0.328296	21.972506	-0.041646	58.109403
seq12/frame00014.png	0.037584	0.938333	-0.058446	0.338684	22.523142	-0.179594	58.333107
seq2/frame00155.png	-0.030575	0.966130	-0.131869	0.219704	20.577795	-0.100613	58.591670
seq2/frame00154.png	-0.015497	0.976899	-0.110286	0.182428	21.225433	-0.109814	58.757071
seq2/frame00153.png	-0.005732	0.980811	-0.129519	0.145687	21.965393	-0.298484	58.878734
seq2/frame00156.png	-0.036077	0.962429	-0.135096	0.232785	19.867835	-0.033588	58.344611
seq2/frame00157.png	-0.061400	0.968130	-0.134951	0.201897	19.078599	-0.002550	58.316870
seq2/frame00158.png	-0.064137	0.972707	-0.155016	0.160327	18.481953	0.137072	58.133926
seq2/frame00159.png	-0.088058	0.975758	-0.149981	0.133047	17.771389	0.093542	58.156322
seq1/frame00096.png	0.007748	0.959070	-0.187633	0.211954	20.149564	-0.025594	54.528538
seq12/frame00023.png	-0.042693	0.913465	-0.185117	0.359852	19.825283	0.189200	53.932237
seq12/frame00013.png	0.022008	0.944671	-0.090616	0.314494	23.184005	-0.052428	58.370963
seq2/frame00166.png	-0.055114	0.982018	-0.151117	0.099391	12.733365	0.167992	57.528967
seq1/frame00095.png	-0.008084	0.968827	-0.167578	0.182341	20.916958	-0.072559	54.598078
seq1/frame00094.png	-0.002777	0.961828	-0.158657	0.222970	21.641194	-0.072071	54.450235
seq12/frame00046.png	-0.090819	-0.955089	0.188964	0.209422	7.208526	0.510307	53.303843
seq12/frame00045.png	-0.079834	-0.956007	0.192641	0.206342	7.846501	0.483893	53.007203
seq12/frame00047.png	-0.098965	-0.950893	0.228710	0.183584	6.472675	0.470815	53.328254
seq12/frame00044.png	-0.044270	-0.971498	0.161720	0.167582	8.696350	0.437192	53.002003
seq1/frame00112.png	-0.034227	-0.981735	0.146118	0.116985	8.631849	0.584659	54.458073
seq1/frame00111.png	-0.035126	-0.984311	0.162453	0.061060	9.243733	0.508424	54.517893
seq1/frame00113.png	-0.041897	-0.979995	0.141798	0.133216	7.938493	0.545108	54.302635
seq1/frame00114.png	-0.038508	-0.968777	0.166973	0.179231	7.167109	0.587188	54.191938
seq1/frame00109.png	0.005785	0.993777	-0.165233	0.007926	10.811685	0.453037	54.589154
seq1/frame00108.png	0.016486	0.982846	-0.181651	0.033774	11.486037	0.439746	54.528883
seq12/frame00043.png	-0.031497	-0.981391	0.135296	0.132754	9.270382	0.240560	52.744659
seq4/frame00192.png	-0.076081	-0.968877	0.217897	0.090041	8.514388	0.440368	56.483264
seq4/frame00193.png	-0.072428	-0.973471	0.207345	0.066115	7.662309	0.498314	56.256744
seq4/frame00194.png	-0.063060	-0.974229	0.209640	0.055706	7.230130	0.537821	56.534724
seq4/frame00191.png	-0.041340	-0.970347	0.236070	0.040669	9.028878	0.472378	56.413856
seq4/frame00190.png	-0.029873	-0.977100	0.246308	0.007081	10.002984	0.272980	56.649348
seq4/frame00189.png	0.049288	0.973379	-0.217855	0.052545	10.533346	-0.031359	56.716303
seq4/frame00188.png	0.008945	0.972334	-0.223690	0.067169	11.302742	0.356752	56.806074
seq4/frame00195.png	-0.059671	-0.965763	0.217401	0.128518	6.147542	0.651082	55.866330
seq2/frame00169.png	-0.068967	0.983064	-0.149939	0.080188	11.084223	0.153417	57.424764
seq2/frame00168.png	-0.062987	0.981818	-0.150805	0.096898	11.461501	0.183597	57.275790
seq2/frame00167.png	-0.067260	0.978176	-0.185400	0.067156	12.102752	0.227050	57.449295
seq4/frame00187.png	-0.013419	0.960001	-0.248771	0.127938	12.186190	0.265884	56.790792
seq4/frame00185.png	0.015466	0.964395	-0.227634	0.133794	13.320228	0.151790	57.225576
seq4/frame00186.png	-0.004455	0.958927	-0.249136	0.135677	12.661149	0.193786	57.051043
seq4/frame00184.png	-0.016526	0.963670	-0.232270	0.131052	14.063764	0.093779	57.421554
seq2/frame00170.png	-0.066685	0.985361	-0.144644	0.061735	10.401985	0.168384	57.316542
seq12/frame00048.png	-0.079171	-0.939536	0.268741	0.196983	5.838522	0.551959	53.499300
seq12/frame00049.png	-0.084590	-0.948724	0.263403	0.153100	5.255698	0.611764	53.154737
seq1/frame00116.png	-0.044035	-0.979778	0.161876	0.109242	5.932191	0.692051	53.981435
seq4/frame00183.png	-0.021160	0.955699	-0.240625	0.168281	14.937896	0.159154	57.408423
seq1/frame00101.png	0.001907	0.973754	-0.202496	0.104301	16.621258	0.273144	54.637083
seq12/frame00042.png	-0.034800	-0.984968	0.121476	0.118110	10.142138	0.383716	52.457650
