Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192253.jpg -66.5039 -0.0391535 136.525 0.444194 -0.0818699 -0.867166 0.140424 2.10733671068 1.85496264799
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192259.jpg -69.1182 -0.174659 136.492 0.365661 -0.0843823 -0.906909 0.128266 1.66303751848 1.85985901489
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192255.jpg -66.5228 0.0130393 135.943 0.407287 -0.0786304 -0.881344 0.156568 2.95773283378 1.78818184224
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192256.jpg -67.1597 -0.194091 136.649 0.413078 -0.0743275 -0.885125 0.155696 2.17166544029 1.68254213826
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192257.jpg -67.9597 -0.159666 137.072 0.385543 -0.0777052 -0.899945 0.151963 1.32471431783 1.4966786919
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192300.jpg -69.141 -0.0697379 136.666 0.344548 -0.0804363 -0.916877 0.130632 1.38940339801 1.58255038214
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192200.jpg -69.5456 -0.0460431 139.052 0.323465 -0.0738071 -0.922758 0.160454 2.27926324298 1.62663924384
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192157.jpg -71.1079 -0.0705431 139.368 0.35113 -0.0751645 -0.912991 0.157787 2.53106968733 1.42972917894
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192155.jpg -72.2127 0.011836 139.986 0.404718 -0.0932785 -0.891221 0.143607 2.4731776412 1.72797848866
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192202.jpg -70.0317 -0.105894 139.178 0.304901 -0.0807291 -0.928929 0.137851 2.55274179549 1.47681030962
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192204.jpg -67.41 -0.0465724 140.66 0.36638 -0.120873 -0.909496 0.132043 1.18354342645 2.25164684111
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192301.jpg -70.7406 -0.193218 136.438 0.331443 -0.0480442 -0.928142 0.123338 1.03562646274 1.42605180436
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192302.jpg -72.1776 0.0118512 135.491 0.311008 -0.0462108 -0.934585 0.119414 1.94143310622 1.59146618596
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192304.jpg -72.5285 -0.0265869 135.549 0.293163 -0.0408834 -0.94166 0.113664 1.9090910915 1.44572256527
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192305.jpg -71.2271 0.012648 135.793 0.287023 -0.0471772 -0.943859 0.124075 1.94516941518 1.42642795186
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192306.jpg -71.435 0.0162613 134.765 0.281159 -0.0271815 -0.940374 0.121198 2.47710551383 1.34140520279
D:/_git/posenet/PoseNet_Dataset/EngineeringBuilding/2018-07-19/IMG_20180719_192158.jpg -71.3324 0.117776 138.604 0.286515 -0.0819686 -0.936078 0.161357 3.16728454101 1.50491110754
