Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00064.png 25.8484 -1.57199 -197.185 0.752491 -0.0722224 0.662849 -0.0786819 4.5667202709 0.335820013807
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00067.png 25.0302 -1.41789 -197.135 0.744681 -0.0442651 0.677563 -0.0506873 2.67519621468 0.672289481857
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00066.png 22.9566 -1.36874 -197.448 0.732574 -0.0428735 0.693911 -0.0254793 0.834657719556 0.609798103495
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00069.png 24.4815 -1.33216 -197.37 0.751022 -0.036346 0.671148 -0.044858 2.2153073894 0.522897097429
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00068.png 24.1249 -1.49706 -195.39 0.731024 -0.0453414 0.689345 -0.0707775 3.40215507477 0.324793091623
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00070.png 26.4191 -1.48434 -200.124 0.774185 -0.0598828 0.644583 -0.0464956 2.56561932383 0.605174248853
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00071.png 27.2973 -1.36052 -201.244 0.776011 -0.0485049 0.644637 -0.0146044 3.18145807768 0.544359214721
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00072.png 26.8083 -1.42511 -201.671 0.766839 -0.055197 0.653826 -0.0473946 2.30611142314 0.482539034881
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00073.png 26.937 -1.4244 -202.295 0.772412 -0.0526829 0.646731 -0.0325656 2.23048534079 0.564961028728
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00065.png 24.2204 -1.52054 -196.053 0.721855 -0.0555781 0.699635 -0.0507884 2.55317283288 1.06695378611
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00074.png 27.6783 -1.43343 -202.719 0.794154 -0.0379742 0.616505 -0.0687671 2.41351221973 0.621565201931
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00075.png 28.6483 -1.60142 -200.016 0.77692 -0.046103 0.637861 -0.0829445 3.61192205215 0.318684442868
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00076.png 28.2972 -1.42984 -202.867 0.801942 -0.0294348 0.607084 -0.0636895 1.8205338384 0.576126997228
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00077.png 28.5512 -1.51261 -203.224 0.772453 -0.0617119 0.646161 -0.0536586 1.83168721794 0.303484629319
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00078.png 29.3452 -1.50303 -202.788 0.773229 -0.0655114 0.643605 -0.0289278 2.33832904267 0.313581049432
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00079.png 29.071 -1.44647 -203.111 0.760268 -0.0516478 0.658688 -0.0360145 1.88914110837 0.32841574708
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00063.png 25.6291 -1.55659 -194.814 0.780694 -0.0478151 0.633009 -0.075113 4.34802537006 0.319868296629
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00062.png 24.7993 -1.59333 -195.06 0.758339 -0.0560416 0.663143 -0.0877769 3.82469336119 0.298732227263
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00061.png 22.3585 -1.65167 -192.218 0.727079 -0.0512852 0.692606 -0.0967231 2.66533788281 0.327347506087
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00060.png 22.781 -1.68731 -193.385 0.710603 -0.0586504 0.70896 -0.0938385 2.28790659208 0.450321134494
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00059.png 20.9382 -1.68151 -190.502 0.693264 -0.0500166 0.724767 -0.112583 2.53136225988 0.421995570308
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00058.png 20.7935 -1.74335 -190.181 0.675152 -0.0497203 0.734075 -0.139956 2.42742298511 0.367507317269
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00178.png 22.8478 -1.92743 -195.443 0.728647 -0.0690088 0.669504 -0.167683 3.11358874383 0.534945552988
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00179.png 22.586 -1.89502 -194.199 0.729275 -0.0513408 0.662546 -0.186272 1.80180863 0.915825717975
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00180.png 22.6068 -1.92179 -194.292 0.71834 -0.0679955 0.679768 -0.172224 1.14093613929 0.711018501451
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00177.png 22.8408 -1.86033 -194.06 0.735312 -0.0614643 0.664951 -0.16224 3.03763672642 0.565620379059
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00185.png 24.8605 -1.84329 -195.957 0.741917 -0.0882347 0.664796 -0.126353 1.08911083369 0.392094187297
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00186.png 26.3823 -1.78616 -198.957 0.767208 -0.0719402 0.636834 -0.135537 2.81230946333 0.53857598784
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00184.png 23.9713 -1.89343 -194.974 0.726603 -0.0934179 0.679479 -0.139641 1.18170563917 0.224128760014
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00183.png 21.8088 -1.85615 -192.243 0.688549 -0.078796 0.715312 -0.13865 3.60520531226 0.379550765287
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00176.png 22.3602 -1.96955 -194.666 0.737633 -0.101484 0.660234 -0.160941 3.54066541531 0.810081854995
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00039.png 23.2513 -1.65072 -193.158 0.70366 -0.0352731 0.714623 -0.0945354 1.93892615263 0.339589274946
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00040.png 22.7059 -1.66277 -193.092 0.699534 -0.0470673 0.719582 -0.102753 1.699375438 0.495883312102
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00038.png 24.1706 -1.6772 -194.283 0.728696 -0.0404642 0.68702 -0.116817 1.2992095771 0.365478573928
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00037.png 25.728 -1.59813 -196.979 0.744478 -0.044305 0.6735 -0.100109 1.31482262578 0.472201261845
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00036.png 26.5616 -1.59152 -196.776 0.761643 -0.0385139 0.657444 -0.0980004 1.06131253575 0.397008501992
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00035.png 25.9935 -1.51171 -197.052 0.75119 -0.0415644 0.672053 -0.0843019 0.188052111939 0.567051932519
