Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00064.png 21.334 -1.70008 -490.788 0.722779 -0.0596267 0.651846 -0.0765484 4.55499406919 1.55695161291
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00067.png 22.9877 -1.50252 -492.893 0.719587 -0.0302682 0.665385 -0.0536416 4.24735741952 1.40701297296
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00066.png 22.4461 -1.47198 -493.239 0.708552 -0.0287241 0.677146 -0.0259499 3.23072197039 1.19488023388
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00069.png 23.6317 -1.54554 -494.394 0.729231 -0.0225234 0.657607 -0.0429221 3.83915848769 1.22363547744
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00068.png 23.4845 -1.61451 -494.705 0.706995 -0.0328557 0.679571 -0.0710299 2.93781819556 1.60630923621
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00070.png 24.3371 -1.59354 -495.072 0.74837 -0.0446283 0.636554 -0.0467194 3.67874035426 1.51559382962
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00071.png 24.8313 -1.55087 -495.578 0.750115 -0.0360226 0.633143 -0.0167834 3.78791884124 1.18993020599
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00072.png 24.9883 -1.52632 -496.503 0.744081 -0.0406741 0.640368 -0.0466928 3.29273243007 1.37103074829
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00073.png 25.5543 -1.6004 -497.482 0.7501 -0.0377384 0.636438 -0.033314 2.88752304191 1.39273726196
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00065.png 21.8652 -1.67191 -491.968 0.689963 -0.0397054 0.692992 -0.0510813 4.03809611863 1.7427502791
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00074.png 25.6015 -1.64275 -497.092 0.770441 -0.0221029 0.605798 -0.0697091 3.69424175576 1.51839787327
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00075.png 25.9954 -1.54272 -499.022 0.754485 -0.0331619 0.628622 -0.0836316 2.32065270537 1.41357746274
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00076.png 26.425 -1.53597 -498.744 0.778982 -0.0159276 0.595105 -0.0642284 3.13742020383 1.21422478575
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00077.png 26.8553 -1.50564 -498.376 0.746868 -0.0464391 0.632838 -0.0557747 4.1475451445 1.60267335189
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00078.png 27.7081 -1.51604 -500.176 0.751475 -0.0509365 0.633412 -0.0319293 2.83725702914 1.44590689328
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00079.png 27.8235 -1.52666 -501.615 0.742621 -0.0375389 0.646357 -0.0352195 1.88846803033 1.49561815815
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00063.png 21.9549 -1.58442 -489.74 0.755199 -0.036505 0.615384 -0.0742524 4.89352779266 0.933779774522
