Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00064.png -151.75 -1.71174 -174.406 0.752379 -0.0716429 0.656219 -0.0804882 0.409507467181 0.84339010586
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00067.png -150.606 -1.72671 -176.267 0.745777 -0.0453354 0.671694 -0.0565155 0.519509726519 1.02694985854
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00066.png -150.777 -1.82122 -175.026 0.728206 -0.0425856 0.690227 -0.0308095 0.3495229539 0.47764940844
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00069.png -149.941 -1.73893 -177.015 0.750918 -0.0352502 0.66839 -0.0496366 0.449887187256 0.52218661137
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00068.png -150.387 -1.74787 -176.369 0.732223 -0.0460797 0.684278 -0.0750404 0.623913364638 0.610520152817
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00070.png -149.111 -1.77283 -177.276 0.769643 -0.0585931 0.640981 -0.0494977 0.358581549794 0.521189878884
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00071.png -148.901 -1.75396 -178.35 0.772497 -0.0481427 0.641558 -0.01943 0.450773641658 0.45703313242
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00072.png -148.275 -1.71282 -178.225 0.763439 -0.0554282 0.648556 -0.0517473 0.411625747716 0.490628237894
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00073.png -148.321 -1.74396 -178.858 0.769509 -0.0527664 0.645733 -0.0370556 0.540045688741 0.412806864762
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00065.png -151.385 -1.78889 -174.408 0.715216 -0.057161 0.700684 -0.05268 0.60347483302 0.656824583864
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00074.png -147.607 -1.64076 -179.452 0.794006 -0.0364424 0.611269 -0.0742661 0.327514671595 0.646974564308
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00075.png -146.726 -1.77284 -179.543 0.774753 -0.0458044 0.630774 -0.0852524 0.617553466084 0.576431425346
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00076.png -146.552 -1.75987 -180.975 0.802806 -0.0282624 0.602054 -0.0680418 0.393178836248 0.632707615334
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00077.png -145.867 -1.68984 -181.365 0.772699 -0.0625053 0.63664 -0.0560871 0.186396602802 0.842591807301
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00078.png -145.396 -1.7543 -181.613 0.771043 -0.0652389 0.639627 -0.0320001 0.195062569651 0.423582175168
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00079.png -145.156 -1.73384 -182.21 0.759604 -0.051182 0.654329 -0.0401851 0.316400505579 0.316369590953
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00063.png -151.586 -1.74609 -174.041 0.78088 -0.0475585 0.629361 -0.0778175 0.668879852784 0.513172195724
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00062.png -151.662 -1.79821 -173.022 0.757885 -0.0549147 0.650633 -0.0899956 0.304238045643 1.0119655884
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00061.png -152.195 -1.81364 -172.031 0.726384 -0.0508066 0.684313 -0.100062 0.242391157733 0.782739552187
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00060.png -152.617 -1.84637 -171.13 0.705921 -0.058429 0.703425 -0.097599 0.498963708379 0.463781213714
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00059.png -152.749 -1.84957 -171.046 0.695187 -0.0497885 0.713876 -0.11622 0.415447742854 1.1567129002
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00058.png -152.848 -1.81068 -170.323 0.679305 -0.0476466 0.726094 -0.141626 0.26162763877 0.955587721994
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00178.png -151.897 -1.65611 -171.108 0.73364 -0.0692239 0.661946 -0.169021 0.321028035613 0.964296121218
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00179.png -151.323 -1.55935 -170.917 0.726782 -0.0485466 0.659682 -0.191236 0.97795935588 0.368176748939
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00180.png -150.496 -1.59899 -171.275 0.716293 -0.0652285 0.672743 -0.175699 1.19757753266 0.637602031507
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00177.png -152.53 -1.59141 -170.608 0.73918 -0.0596306 0.657594 -0.167515 0.22330291728 0.787334946463
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00185.png -148.885 -1.71414 -174.612 0.749135 -0.0885708 0.653303 -0.127472 0.268799974118 1.16064966524
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00186.png -148.712 -1.65908 -174.703 0.768572 -0.0712678 0.627708 -0.139518 0.271068370631 0.725882579852
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00184.png -149.081 -1.68829 -173.374 0.729572 -0.0920923 0.668923 -0.139302 0.503965831059 0.926676805208
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00183.png -149.663 -1.73033 -173.572 0.692263 -0.0777882 0.711772 -0.139357 0.208614065458 0.902261976804
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00176.png -152.972 -1.64375 -170.232 0.745801 -0.103678 0.648044 -0.161936 0.592793241308 0.894471585742
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00039.png -149.657 -1.7139 -172.802 0.706125 -0.0348165 0.708377 -0.099106 0.639568525752 0.680613975654
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00040.png -149.759 -1.72849 -172.437 0.699196 -0.0465143 0.712642 -0.103898 0.478581680956 0.973548216093
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00038.png -148.642 -1.70052 -173.311 0.728321 -0.039074 0.67903 -0.120026 0.402811544261 0.732867829995
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00037.png -148.49 -1.68771 -173.865 0.742291 -0.0427488 0.669682 -0.104582 0.593069675407 0.477477677687
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00036.png -147.586 -1.68414 -173.979 0.759941 -0.0393478 0.647858 -0.102512 0.440662122104 0.708930593028
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00035.png -147.45 -1.67206 -174.775 0.750106 -0.0379041 0.66413 -0.0899233 0.527379633746 0.717195582663
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00034.png -146.505 -1.57632 -175.386 0.757193 -0.0422634 0.652021 -0.100237 0.250111607891 1.00655327476
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00032.png -145.266 -1.65358 -176.128 0.754181 -0.0482498 0.654308 -0.101681 0.271771410975 0.737607098873
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00033.png -146.555 -1.64286 -176.301 0.772187 -0.0403121 0.640023 -0.0940196 0.638382198965 1.08100676254
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00031.png -145.427 -1.64647 -176.713 0.76689 -0.0467086 0.640518 -0.106223 0.265924586693 0.910135309229
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00030.png -144.978 -1.72317 -178.003 0.752638 -0.0345818 0.661868 -0.094304 0.565398118202 1.08990237512
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00029.png -144.146 -1.65681 -177.18 0.759387 -0.0533506 0.643267 -0.107192 0.804219927125 0.785685364554
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00198.png -143.228 -1.72798 -178.296 0.780771 -0.0326732 0.634788 -0.047298 0.674354301542 0.734524801275
