Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00064.png 27.5843 -1.76549 -197.284 0.742586 -0.0705972 0.666773 -0.0814227 6.29267860617 0.831649311021
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00067.png 27.3412 -1.59661 -195.026 0.731626 -0.0426819 0.677479 -0.0549271 5.70408603071 0.623806740723
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00066.png 24.9792 -1.4569 -195.096 0.72171 -0.0401356 0.692931 -0.0287391 3.68431453866 0.524901471471
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00069.png 27.2312 -1.45233 -196.305 0.741474 -0.0340403 0.668265 -0.0476507 4.8979713269 0.410780917217
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00068.png 26.2052 -1.64539 -193.922 0.720771 -0.0428942 0.69141 -0.0734909 5.6699173617 0.978730465324
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00070.png 28.5915 -1.67494 -196.64 0.760722 -0.0571437 0.644789 -0.0493183 5.62479439601 0.532712173636
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00071.png 29.4507 -1.46653 -199.648 0.767387 -0.0458581 0.641646 -0.0211038 5.23370737402 0.409053719976
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00072.png 29.2588 -1.60534 -199.511 0.756967 -0.0528529 0.649573 -0.0517184 4.7453397343 0.274709924825
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00073.png 30.4709 -1.54614 -201.358 0.764437 -0.0504269 0.642779 -0.0364102 5.51971842444 0.185143295014
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00065.png 25.9165 -1.68133 -193.672 0.707635 -0.0519279 0.704273 -0.0509049 5.25243207938 0.494506459568
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00074.png 30.632 -1.56042 -201.978 0.786656 -0.035804 0.612292 -0.0747669 5.16340564383 0.28333544525
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00075.png 30.5542 -1.74486 -198.545 0.763598 -0.044326 0.636555 -0.0855662 6.01491618218 0.792447018687
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00076.png 30.7223 -1.52177 -201.326 0.793593 -0.0274756 0.604845 -0.069495 4.50361512444 0.454719548611
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00077.png 31.933 -1.76173 -202.742 0.764333 -0.0606799 0.641842 -0.0566287 5.23841466256 0.417538163727
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00078.png 32.6593 -1.69634 -203.309 0.766065 -0.0633983 0.643261 -0.0338731 5.35724269067 0.535670887613
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00079.png 31.3403 -1.6115 -203.797 0.753515 -0.0501487 0.658851 -0.0405649 3.61902460611 0.632266100745
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00063.png 27.6495 -1.78507 -193.415 0.771236 -0.045197 0.633539 -0.0786275 6.65645023178 0.6763635112
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00062.png 27.2128 -1.78746 -193.689 0.74448 -0.0533038 0.66105 -0.0892756 6.35886335465 0.920283433031
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00061.png 24.3695 -1.7889 -192.097 0.715532 -0.0495463 0.694947 -0.0986609 4.23998011472 1.03735384673
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00060.png 24.0569 -1.79416 -191.881 0.697542 -0.0569946 0.70971 -0.0957835 3.96194401329 0.801891539417
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00059.png 22.2184 -1.74437 -190.019 0.677861 -0.0458554 0.726006 -0.116638 3.48350021641 1.30488996856
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00058.png 21.5584 -1.81237 -190.053 0.661924 -0.0458384 0.735463 -0.141974 2.89167982887 1.25345506496
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00178.png 23.8032 -2.06889 -195.062 0.720415 -0.067207 0.67177 -0.172494 3.6793429337 0.966287221318
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00179.png 23.0609 -2.05588 -195.001 0.717349 -0.049356 0.668949 -0.195342 2.53629101471 1.23507472708
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00180.png 23.3989 -2.0494 -194.415 0.70603 -0.0652307 0.683166 -0.178841 1.93270146377 1.08697753284
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00177.png 24.0598 -2.02321 -193.855 0.727521 -0.0593356 0.665649 -0.168221 4.09211585428 0.84360866494
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00185.png 26.6407 -1.96556 -195.887 0.733502 -0.0875265 0.660701 -0.127062 2.75970297628 0.679720446561
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00186.png 27.7902 -1.91759 -197.139 0.758349 -0.0712296 0.633637 -0.141352 3.52590980163 0.647674590455
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00184.png 25.2303 -2.03674 -194.799 0.71701 -0.091313 0.677478 -0.139757 2.11978944563 0.77508837126
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00183.png 22.4067 -2.00587 -191.846 0.675719 -0.0757948 0.720887 -0.138174 3.8462784817 1.19385503699
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00176.png 23.2828 -2.13314 -193.569 0.731403 -0.100988 0.655691 -0.162601 3.5788999387 0.878655239504
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00039.png 23.8591 -1.69313 -193.025 0.695566 -0.0337461 0.715032 -0.0955295 2.00475371424 0.823037013185
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00040.png 23.7182 -1.76432 -192.73 0.68479 -0.0449891 0.721816 -0.10345 1.9161219273 0.948376387792
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00038.png 25.2036 -1.72369 -194.521 0.716613 -0.0380782 0.689227 -0.118841 1.20922868202 1.07626055491
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00037.png 27.2621 -1.70464 -197.439 0.734589 -0.043551 0.672038 -0.101723 2.79177487792 0.393848097511
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00036.png 27.7088 -1.72682 -194.92 0.749029 -0.0370556 0.656831 -0.101658 2.61349801004 0.959156050837
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00035.png 27.3041 -1.5959 -195.769 0.737316 -0.0365452 0.67113 -0.0881897 1.87431521105 0.966507572852
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00034.png 27.5735 -1.71114 -194.993 0.746101 -0.0400462 0.659361 -0.0993434 2.68867579903 0.490028428735
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00032.png 28.2609 -1.73795 -195.401 0.742928 -0.0457479 0.662419 -0.10325 3.2348540879 0.868609979819
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00033.png 28.8179 -1.66245 -196.398 0.75413 -0.0388273 0.649799 -0.0945049 2.71282706933 1.19731555186
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00031.png 29.7221 -1.83684 -198.146 0.751938 -0.0456216 0.648461 -0.105545 2.3300753151 0.985022097003
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00030.png 29.8064 -1.61576 -198.261 0.735241 -0.0322263 0.670929 -0.0912461 2.35627343714 1.05286967573
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00029.png 29.506 -1.84169 -198.024 0.750495 -0.0504787 0.652647 -0.106718 2.3860611607 0.775846508922
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00198.png 31.2954 -1.66526 -198.41 0.768853 -0.0306993 0.640247 -0.0469368 2.06043725584 0.76259891147
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00197.png 32.1275 -1.79428 -200.26 0.791459 -0.0455931 0.605186 -0.0694654 2.79947421318 0.504065036538
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00199.png 31.0167 -1.68621 -199.491 0.756519 -0.0420368 0.650429 -0.05816 0.646548287499 0.730073018309
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00200.png 31.1707 -1.65966 -198.784 0.74368 -0.0344756 0.666916 -0.0535725 1.52712564776 0.493382215743
