Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00064.png 25.3314 -1.47037 -196.507 0.741385 -0.0664549 0.657147 -0.076296 3.98028780938 0.580781457705
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00067.png 25.1571 -1.44465 -197.038 0.735277 -0.038508 0.672431 -0.0519928 2.82746879618 0.520677251579
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00066.png 22.3672 -1.35306 -197.5 0.723469 -0.0336644 0.684035 -0.0275629 0.32324170031 0.73210377443
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00069.png 24.5525 -1.43995 -197.808 0.74383 -0.0296719 0.662644 -0.0443469 1.89720667295 0.523639852438
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00068.png 25.1454 -1.45179 -195.9 0.725601 -0.0400816 0.678849 -0.0687202 3.44857056919 0.74859051601
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00070.png 27.2146 -1.48586 -198.859 0.760227 -0.0521642 0.639167 -0.0463348 3.43919553199 0.556171850437
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00071.png 27.0246 -1.55444 -200.16 0.763849 -0.0406755 0.639567 -0.0159589 2.76717469511 0.601612130759
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00072.png 26.8071 -1.41323 -201.077 0.755673 -0.0480574 0.647091 -0.0479895 2.14791690416 0.558819608674
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00073.png 27.5663 -1.48964 -201.718 0.762274 -0.0449042 0.640431 -0.0327035 2.65177459807 0.645992489031
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00065.png 25.2697 -1.49126 -196.735 0.710576 -0.0492695 0.698213 -0.0496421 3.42826008175 0.491298786118
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00074.png 28.7189 -1.44612 -202.868 0.785511 -0.0309608 0.607319 -0.0689588 3.43291487226 0.668546001019
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00075.png 29.0232 -1.58224 -198.68 0.768072 -0.0407403 0.629088 -0.0804928 4.82047482229 0.594650778942
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00076.png 28.918 -1.53108 -202.026 0.791315 -0.0223341 0.60169 -0.0648919 2.57124203505 0.493167251209
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00077.png 29.8639 -1.4328 -203.437 0.765155 -0.0555405 0.635587 -0.051923 3.12357815684 0.581733631246
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00078.png 31.6399 -1.51657 -204.031 0.764229 -0.0565141 0.636822 -0.0301132 4.29853463617 0.73714867674
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00079.png 31.1092 -1.42027 -205.358 0.753898 -0.0461822 0.654492 -0.0356166 3.42464127821 0.620986511471
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00063.png 25.6195 -1.62942 -194.828 0.769333 -0.0406878 0.629348 -0.0746536 4.33238242928 0.665409025228
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00062.png 25.0182 -1.52983 -194.76 0.746759 -0.0494282 0.654996 -0.0860587 4.05438035449 0.556134964932
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00061.png 22.9372 -1.58216 -192.18 0.716761 -0.0452743 0.685287 -0.0940823 3.07859293858 0.526683155781
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00060.png 23.6966 -1.56839 -194.096 0.699888 -0.0526365 0.703194 -0.0922557 3.22055242894 0.597734471447
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00059.png 22.2637 -1.59047 -191.862 0.685275 -0.0429188 0.716684 -0.110893 2.21886329377 0.661962346819
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00058.png 21.3492 -1.53044 -192.9 0.670963 -0.0426625 0.726536 -0.13942 1.59103702536 0.500445391211
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00178.png 22.2053 -1.80651 -196.072 0.72136 -0.0607583 0.664921 -0.169671 3.1984777914 0.79430901383
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00179.png 22.5889 -1.85512 -196.098 0.722389 -0.0429535 0.657908 -0.189072 2.83662856925 0.636956848887
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00180.png 22.841 -1.84291 -196.364 0.710665 -0.0591361 0.676711 -0.174608 2.38834242313 0.645279068586
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00177.png 23.1772 -1.80795 -194.732 0.728972 -0.0531843 0.658151 -0.161369 3.67392935918 0.794866573141
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00185.png 26.0406 -1.65054 -196.815 0.734856 -0.0815444 0.656704 -0.12222 2.06527560129 0.752416770153
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00186.png 26.5438 -1.63056 -198.984 0.757017 -0.0641486 0.631845 -0.135655 2.95054178952 0.868730890613
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00184.png 24.9647 -1.73842 -196.288 0.717618 -0.0866297 0.671146 -0.136077 1.41736834707 0.654901923231
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00183.png 22.2272 -1.76604 -194.151 0.681276 -0.0707462 0.709956 -0.136397 1.69071308189 0.66298513429
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00176.png 22.4119 -1.99899 -194.799 0.728275 -0.0930055 0.655264 -0.161985 3.67890601373 1.49016509095
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00039.png 23.4492 -1.50792 -194.418 0.695935 -0.0283992 0.706734 -0.0924558 0.692528503448 0.638379585455
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00040.png 22.6913 -1.45262 -194.083 0.688868 -0.0401801 0.710518 -0.0998917 0.927297121841 0.695901682806
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00038.png 24.9829 -1.50179 -196.296 0.721651 -0.0335429 0.67688 -0.114615 0.891983118552 0.675214624881
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00037.png 25.9235 -1.448 -197.695 0.733309 -0.0377137 0.665432 -0.0977928 2.02241900335 0.683311072575
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00036.png 26.9168 -1.53671 -195.849 0.748599 -0.0321137 0.648648 -0.096837 1.46070190631 0.725105658258
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00035.png 26.699 -1.4619 -197.024 0.740086 -0.0342652 0.662471 -0.0828135 0.842913831128 0.501234792408
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00034.png 26.6187 -1.51238 -196.393 0.746212 -0.0340489 0.652033 -0.0957864 1.04900876027 0.762552893035
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00032.png 27.242 -1.53518 -196.912 0.746321 -0.0443405 0.651817 -0.0975389 1.59379396109 0.573251151916
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00033.png 27.4696 -1.50951 -197.601 0.758457 -0.0367653 0.639045 -0.087117 0.960280839825 0.494381135615
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00031.png 28.6869 -1.54214 -200.089 0.756527 -0.0436429 0.638288 -0.0995227 1.51836449356 0.538645375702
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00030.png 28.6041 -1.43973 -199.066 0.741549 -0.0298472 0.660843 -0.0873577 0.954643491969 0.617208924453
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00029.png 28.8609 -1.59128 -199.495 0.752829 -0.047968 0.644752 -0.100481 0.777051691842 0.658266629433
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00198.png 30.6508 -1.68039 -197.506 0.767455 -0.0273193 0.631234 -0.0408854 2.54473682723 0.509271578838
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00197.png 30.0777 -1.58768 -201.001 0.790682 -0.0408501 0.604101 -0.0636425 1.30169626306 0.696045271519
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00199.png 30.4937 -1.57218 -198.492 0.757022 -0.0379266 0.644115 -0.0528377 1.64387480683 0.635219827367
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00200.png 32.3842 -1.55472 -200.563 0.745946 -0.0312429 0.662957 -0.0497081 1.05227404644 0.482945078512
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00201.png 32.6575 -1.46458 -201.96 0.732913 -0.0264592 0.675925 -0.0598534 1.64967132942 0.53209641173
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00202.png 32.447 -1.50071 -200.672 0.730928 -0.0152748 0.678332 -0.0677476 0.319394479782 0.641511576577
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00203.png 34.1487 -1.52725 -203.299 0.743497 -0.00771148 0.665833 -0.0572558 2.60283567177 0.613788782989
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00204.png 34.811 -1.52125 -203.334 0.740858 -0.0200839 0.668222 -0.0565798 2.46585803185 0.620072125419
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00043.png 22.7168 -1.54303 -192.798 0.66684 -0.0322946 0.737275 -0.0747877 0.960423653323 0.480150714523
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00042.png 21.897 -1.5376 -193.494 0.666129 -0.0198234 0.738943 -0.0875313 0.51755413387 0.502134306077
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00044.png 23.4736 -1.56326 -193.465 0.688631 -0.0279597 0.718769 -0.0909129 2.15789139392 0.583878062807
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00045.png 21.499 -1.55896 -191.88 0.654899 -0.0207583 0.744042 -0.0978842 0.437287292026 0.66685164426
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00046.png 21.9673 -1.60076 -193.022 0.657455 -0.0268364 0.7466 -0.0878155 1.91792787976 0.516106711899
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00041.png 22.2232 -1.55913 -193.737 0.634443 -0.036482 0.762152 -0.102224 0.84076608677 1.0055792418
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00205.png 33.2518 -1.53662 -201.266 0.738109 -0.0474768 0.663491 -0.0680319 1.39867549381 0.50038900533
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00047.png 20.6314 -1.60122 -189.555 0.637648 -0.0362457 0.761615 -0.0942834 1.26388507801 0.601678393238
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00072.png 24.5534 -1.50666 -198.284 0.702586 -0.023663 0.707396 -0.0405685 3.76328102165 0.609265500216
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00073.png 24.0956 -1.52862 -195.862 0.745406 -0.0246485 0.658597 -0.0408741 1.58200690309 0.693446162984
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00074.png 25.7115 -1.66072 -195.464 0.758885 -0.0289086 0.646937 -0.0407024 3.5654599058 0.492636841017
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00075.png 25.6996 -1.69846 -193.222 0.757145 -0.0313544 0.646901 -0.0405637 4.43791301248 0.561713069269
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00076.png 24.2691 -1.66913 -193.784 0.745518 -0.0334366 0.659239 -0.0419531 3.37014128397 0.610613717478
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00077.png 22.6205 -1.5585 -194.955 0.720108 -0.0365937 0.693346 -0.0296525 2.4368450304 0.503556659598
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00078.png 21.3268 -1.50476 -195.519 0.697579 -0.0365081 0.716074 -0.0330435 2.15974643855 0.6199807059
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00071.png 22.0605 -1.62748 -194.528 0.671317 -0.0193634 0.736667 -0.0411882 2.31443475109 0.532340163656
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00079.png 21.8846 -1.51169 -196.589 0.699665 -0.0270471 0.716275 -0.0125835 4.02896461785 0.78434086532
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00080.png 21.5713 -1.63066 -193.369 0.717638 -0.00902668 0.695636 -0.0244168 2.59522851826 0.589424597677
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq1/frame00081.png 21.3732 -1.64621 -194.317 0.688324 -0.0290761 0.72644 -0.00212864 3.22823278194 0.907775098418
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00056.png 17.6178 -1.71951 -190.901 0.633271 0.0146817 0.756702 -0.161793 1.42496059773 0.791454061315
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00175.png 20.8386 -1.923 -192.319 0.689523 -0.0946123 0.696487 -0.164208 1.65388381546 1.13496869194
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00174.png 21.1632 -1.81913 -191.044 0.68496 -0.0901232 0.697619 -0.158239 1.87642066201 0.949292316435
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00172.png 22.1303 -1.81325 -190.565 0.698903 -0.0616825 0.695146 -0.146405 3.80494300592 0.540872885435
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00173.png 21.9607 -1.83752 -192.382 0.683023 -0.0661594 0.705239 -0.167091 3.95420065165 0.604039412767
