Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00008.png 238.406 -2.01574 205.943 0.927732 0.0137727 -0.401324 -0.0270666 1.95043498144 2.09382339012
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00007.png 237.529 -2.0003 206.139 0.913447 -0.000588373 -0.430024 -0.00809739 1.83640105366 2.09341333696
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00005.png 236.398 -2.01727 206.497 0.915069 0.013599 -0.421891 -0.0268124 1.99469761746 2.4319411928
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00003.png 235.131 -2.03942 206.016 0.901084 -0.00167041 -0.454186 -0.00144638 1.13701728973 1.67443539233
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00002.png 235.43 -1.99507 206.026 0.902052 -0.00199282 -0.454269 -0.000600434 1.32335110272 1.93506629494
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00004.png 235.725 -2.04234 206.423 0.895694 -0.0032041 -0.464621 -0.00944612 1.67430255082 2.12819021321
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00001.png 235.167 -2.01215 205.62 0.902597 -0.00292151 -0.448475 -0.00184851 0.95963608811 1.50159055424
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00009.png 238.759 -1.93844 205.917 0.909001 0.0197881 -0.434269 -0.0366947 1.83600109643 2.30107134114
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00010.png 239.624 -1.96599 205.798 0.926227 0.02011 -0.399621 -0.0446726 2.10343627929 2.81829121633
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00151.png 241.861 -1.85189 208.348 0.881121 -0.0243502 -0.490815 0.0449896 1.31732206797 1.73567896421
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00152.png 242.101 -1.88362 209.508 0.881188 -0.0272446 -0.501554 0.019242 2.09757751887 2.04194013174
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00153.png 241.609 -1.94931 210.511 0.878631 -0.0245514 -0.507047 0.0370646 2.50611208782 2.39793966018
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00121.png 242.753 -2.00149 209.874 0.911278 -0.0189774 -0.431672 -0.0457605 2.42994026921 2.98235938401
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00122.png 242.625 -1.94228 208.378 0.928931 -0.0327752 -0.388179 -0.0462168 1.79914223129 1.84140949702
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00120.png 242.813 -1.93235 210.712 0.898667 -0.018735 -0.463068 -0.0400456 2.67422922914 3.04934271193
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00150.png 243.06 -1.79655 207.982 0.891969 -0.0132814 -0.4727 0.00897621 1.75001099252 2.09966470134
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00123.png 242.825 -1.87476 207.942 0.924938 -0.0299957 -0.394842 -0.0591601 1.89648850269 2.37375509776
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00154.png 240.941 -1.83215 210.959 0.873891 -0.0134404 -0.513822 0.0382788 2.28413268156 2.18821206958
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00155.png 240.085 -1.95729 211.002 0.866098 -0.0179903 -0.518268 0.037267 1.59334791079 1.97002381359
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00011.png 240.427 -1.94523 205.835 0.927512 0.0117219 -0.394584 -0.0515095 2.23665230214 2.83854450978
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00012.png 241.005 -1.92711 205.835 0.931037 0.00447297 -0.387407 -0.0439862 2.26001637761 3.25318566245
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00149.png 243.716 -1.87024 207.659 0.900566 -0.0264825 -0.459446 0.0273177 2.09390801802 2.53845705533
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00013.png 241.609 -1.94428 205.702 0.933066 0.00975742 -0.382512 -0.0422636 2.20541154679 3.72712518111
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00231.png 234.213 -2.02179 208.469 0.859988 -0.00829655 -0.528193 0.0187378 1.03525513618 1.72150411077
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00228.png 236.316 -2.03412 210.976 0.862337 -0.0069165 -0.533677 -0.00171649 2.45216518516 2.76657410521
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00229.png 235.241 -2.09755 209.862 0.858893 0.0222064 -0.529716 -0.0242855 1.44382608329 1.82701067381
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00227.png 235.989 -2.09729 210.927 0.809844 -0.0513793 -0.598619 -0.0547097 1.55291311146 2.68702714593
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00127.png 243.11 -1.86586 204.616 0.979959 -0.0260378 -0.211161 -0.0567995 1.44861669776 2.52845862601
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00128.png 243.953 -1.89969 204.287 0.986629 -0.00757562 -0.173983 -0.0677559 2.13636576916 2.93316849455
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00129.png 244.066 -1.82693 203.576 0.98544 -0.000977409 -0.172679 -0.0824257 1.97883146741 3.14576265852
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00130.png 244.848 -1.9131 203.467 0.982212 -0.0114382 -0.199258 -0.0940689 2.44899501827 3.52779252197
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00131.png 244.457 -1.86403 201.721 0.985211 -0.010419 -0.164909 -0.0862798 0.97134772695 2.44105510032
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00132.png 245.861 -1.99114 202.288 0.988761 -0.0220123 -0.16252 -0.0939695 2.27201414171 3.64512096847
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00143.png 246.808 -1.78655 203.024 0.988031 -0.0349496 -0.16588 0.0346355 1.03994108202 1.21056538908
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00144.png 246.577 -1.74841 204.2 0.981947 -0.037926 -0.216315 0.00282326 1.7418479245 2.43989140313
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00145.png 245.831 -1.69484 204.815 0.960892 -0.0461856 -0.295961 0.0116683 1.82050670555 2.88618541619
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00133.png 245.893 -1.92224 201.121 0.99154 -0.0100474 -0.122188 -0.0793721 1.3507594435 2.6673698087
D:/_git/posenet/PoseNet_Dataset/ShopFacade/seq2/frame00134.png 246.622 -1.8674 201.395 0.993679 -0.0149845 -0.130147 -0.0664133 1.95460394985 3.130466187
