Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00002.png -142.773 -0.453795 168.555 0.973744 -0.0689768 0.136446 -0.0358165 0.462122348239 1.62786046886
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00006.png -142.017 -0.336334 170.08 0.968194 -0.110767 0.149418 -0.048081 0.633899489877 1.17700923972
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00003.png -143.331 -0.418795 169.082 0.97603 -0.0664083 0.130259 -0.0333439 0.748604263097 1.77229371161
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00004.png -142.387 -0.300895 169.429 0.975005 -0.0652144 0.132212 -0.0323099 1.13132646549 1.31689371136
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00001.png -142.638 -0.470411 168.217 0.969464 -0.0677545 0.139659 -0.0403137 0.553915252352 1.69726059913
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00005.png -141.716 -0.286615 169.312 0.968248 -0.0959243 0.125548 -0.0581763 0.995745781395 1.65629203067
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00007.png -141.283 -0.222614 170.762 0.957321 -0.150044 0.153107 -0.065222 1.005423456 1.52045714361
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00008.png -141.121 -0.158353 171.316 0.949636 -0.153625 0.215752 -0.0815845 0.948256410374 1.27686200699
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00098.png -139.514 -0.0466941 179.317 0.918716 -0.155097 0.314074 -0.089338 1.14004363633 1.41473893013
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00097.png -140.857 0.0352218 179.803 0.923722 -0.161362 0.312243 -0.106876 1.61761036935 0.812009623116
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00099.png -139.424 0.150221 179.577 0.901128 -0.178243 0.343429 -0.0892304 0.83995797556 1.46953357112
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00100.png -139.808 0.189236 181.108 0.908569 -0.17313 0.351767 -0.0881994 1.10358911696 0.989013289784
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00162.png -136.652 -0.0450195 181.145 0.896044 -0.167422 0.38621 -0.0158117 1.34423508757 0.437951409051
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00163.png -136.288 0.0352533 182.828 0.895477 -0.162545 0.407504 -0.026415 2.33169042405 0.873406670301
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00164.png -136.079 0.129918 182.603 0.894914 -0.15531 0.399925 -0.0342439 1.36759222201 0.73711514683
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00165.png -135.705 0.183298 183.476 0.892295 -0.160404 0.415109 -0.0374978 1.66493088956 1.41555605452
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00102.png -139.533 0.274316 182.649 0.897738 -0.175318 0.384111 -0.0650235 1.43945739189 1.77088690243
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00022.png -140.528 -0.142265 177.476 0.95297 -0.133289 0.187993 -0.0460916 0.785664721185 1.40171900204
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00021.png -139.463 0.224447 177.06 0.951535 -0.117963 0.181051 -0.0701691 1.54701555563 1.78063649361
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00020.png -139.308 0.257823 176.934 0.967469 -0.0818176 0.160954 -0.0709774 0.753701672153 1.28031330334
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00019.png -138.393 0.18467 177.562 0.964512 -0.0812279 0.18367 -0.0393601 1.40861227091 1.2848965323
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00018.png -138.468 0.0907242 176.442 0.963397 -0.0441614 0.208743 -0.0650982 0.920792608246 1.04387501177
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00017.png -138.505 0.125749 175.354 0.95065 -0.0548523 0.245596 -0.0555036 0.567157767315 1.62560999951
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00016.png -137.968 -0.00046543 174.322 0.960516 -0.0579786 0.207126 -0.0596565 1.21995463575 1.36818231949
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00015.png -137.998 -0.0652469 173.924 0.966243 -0.0465901 0.182674 -0.049871 1.29760941469 1.01543513067
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00014.png -137.995 -0.183183 173.204 0.963766 -0.0382904 0.176171 -0.0657285 1.41397137528 1.08906830704
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00155.png -138.25 -0.0568052 176.088 0.938397 -0.133603 0.283317 -0.0428665 0.911707971285 1.08778166798
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00154.png -138.047 0.0207723 175.879 0.929199 -0.11034 0.330744 -0.046065 1.37405935164 1.10075702793
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00153.png -138.77 -0.136345 175.02 0.918732 -0.119259 0.353265 -0.0623232 1.20567056663 1.22855062987
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00156.png -138.475 -0.0261394 177.104 0.943446 -0.137194 0.270056 -0.0371148 1.27218453999 0.941931205656
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00157.png -138.015 0.0127946 178.372 0.932991 -0.150185 0.305207 -0.0207518 1.79348915315 0.890179710379
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00158.png -137.614 0.206475 178.9 0.914606 -0.174801 0.343937 -0.0266022 1.67816613465 1.26221237653
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00159.png -137.707 0.19096 178.889 0.907929 -0.176682 0.360094 -0.00476921 1.2134962567 1.45381341963
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00096.png -141.72 0.0968249 179.202 0.930799 -0.162659 0.28163 -0.100607 1.64306574448 1.52738728661
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00023.png -140.896 0.159132 178.89 0.958831 -0.185982 0.1443 -0.0589026 1.16420367601 0.884035808672
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00013.png -138.45 0.0890339 172.869 0.958656 -0.073774 0.184669 -0.0693358 1.21111445214 1.77614820092
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00166.png -135.837 0.115733 184.094 0.89243 -0.164188 0.405287 -0.035134 1.731049809 1.22907095474
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00095.png -141.527 0.0349375 177.959 0.923376 -0.152093 0.313005 -0.0812077 1.106404704 1.45144170903
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00094.png -142.829 -0.162056 176.906 0.93922 -0.14314 0.277697 -0.077673 0.808960109911 1.13921022505
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00046.png -135.79 0.531041 189.257 -0.737745 0.109257 -0.656293 0.17186 0.29346391449 1.82905291593
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00045.png -136.042 0.466981 189.666 -0.733755 0.11483 -0.664919 0.165514 0.87918945274 1.54841191803
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00047.png -135.076 0.831423 190.01 -0.74853 0.132282 -0.632507 0.197459 0.680262945299 2.52352778938
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00044.png -136.575 0.477506 188.711 -0.768002 0.108179 -0.638042 0.120234 0.648113871857 1.27248605309
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00112.png -135.579 0.57139 187.381 -0.804455 0.0992205 -0.595041 0.102008 0.276883053444 1.44761632596
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00111.png -135.715 0.43778 187.417 -0.837794 0.115839 -0.555952 0.112507 0.486512396307 1.09106217879
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00113.png -135.526 0.528331 188.682 -0.790625 0.0937827 -0.611415 0.109216 0.408942364496 1.03869223192
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00114.png -135.624 0.604458 189.645 -0.763147 0.116091 -0.643498 0.116188 0.747377984975 1.41930189062
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00109.png -136.524 0.495706 185.903 0.85305 -0.145285 0.472563 -0.0909739 0.335431905033 1.51927485777
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00108.png -136.402 0.411945 185.558 0.853545 -0.152882 0.458696 -0.109916 0.857793299359 1.08891656244
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00043.png -136.657 0.415552 187.336 -0.797243 0.090131 -0.607916 0.0952604 1.07597371726 1.60157901067
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00192.png -134.422 0.560099 188.054 -0.820551 0.140634 -0.575842 0.171518 1.45676398554 1.90694158137
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00193.png -133.263 0.57031 187.173 -0.827194 0.133815 -0.54656 0.162922 0.581721385561 1.70155738963
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00194.png -133.251 0.538826 188.364 -0.835948 0.142998 -0.532892 0.155174 0.592334335104 1.9559538867
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00191.png -134.624 0.508511 187.537 -0.8547 0.173505 -0.529521 0.150448 1.31553087933 2.37373655348
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00190.png -135.43 0.409375 187.07 -0.87893 0.184791 -0.497505 0.140626 1.97342339531 3.14109731611
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00189.png -134.218 0.117677 185.069 0.855532 -0.171102 0.431316 -0.156468 0.605006297206 1.43585037526
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00188.png -135.158 0.335821 184.607 0.875898 -0.197351 0.417311 -0.126779 0.509598910667 1.73247098636
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00195.png -133.086 0.644804 189.062 -0.793069 0.148681 -0.593014 0.160369 0.207380223481 2.08778911541
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00169.png -134.588 0.17739 185.252 0.88207 -0.170783 0.416882 -0.021202 1.27597283178 1.17759450538
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00168.png -134.729 0.141143 184.911 0.88662 -0.16863 0.401311 -0.0278435 1.17554713846 1.30542466872
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00167.png -135.437 0.33723 184.775 0.879449 -0.197664 0.424983 -0.0403408 1.76819699632 1.00061235198
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00187.png -135.185 0.456961 184.332 0.885308 -0.229106 0.365776 -0.120545 1.05140994035 1.46142722759
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00185.png -135.349 0.165905 182.647 0.89084 -0.198759 0.363721 -0.132958 0.608042151146 1.5507544738
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00186.png -135.388 0.204786 184.328 0.887327 -0.222196 0.366639 -0.127986 1.52444498073 1.51407336859
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00184.png -135.665 0.0218877 182.292 0.891691 -0.217669 0.362504 -0.107414 0.916334522421 1.40927615907
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00170.png -133.823 0.305522 186.711 0.874373 -0.160544 0.441619 -0.0241016 2.11027690541 1.39193235792
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00048.png -135.377 0.527385 190.843 -0.736059 0.17758 -0.642272 0.202397 0.397476064853 2.56013503264
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00049.png -135.106 0.593375 191.53 -0.764344 0.174919 -0.606663 0.198356 0.370215569685 2.31534812383
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00116.png -135.058 0.544062 190.647 -0.814666 0.113178 -0.581587 0.116244 0.553111515288 1.89360557006
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00183.png -135.39 0.185872 181.377 0.896718 -0.224382 0.332186 -0.105989 1.20014300846 1.29998029671
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00101.png -139.181 0.276819 181.641 0.888327 -0.177213 0.386071 -0.103182 1.13228855191 0.955281205514
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00042.png -137.634 0.524919 187.232 -0.810128 0.0826506 -0.592548 0.086429 0.626530459077 1.60050175034
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00041.png -137.796 0.385401 186.331 -0.780047 0.0961033 -0.616514 0.114127 1.11877772471 1.12315021036
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00040.png -139.003 0.393242 186.322 -0.800728 0.110415 -0.599713 0.108222 0.478142008992 2.05925078625
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00039.png -138.744 0.288714 185.255 -0.807985 0.130049 -0.577421 0.11693 1.19734769321 1.33749140084
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00038.png -139.089 0.482135 185.674 -0.820649 0.156778 -0.569198 0.117064 1.24177539804 2.50129231241
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00152.png -140.502 -0.293522 175.556 0.902234 -0.0952255 0.421164 -0.0649436 2.73496562679 0.656650403645
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00012.png -138.523 -0.151721 172.227 0.94191 -0.152227 0.249913 -0.0614867 1.31189753722 0.987046472509
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00182.png -135.988 -0.101562 180.495 0.888708 -0.212719 0.366859 -0.0956815 0.769372033964 1.28288386406
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00181.png -136.8 0.0146934 180.728 0.896931 -0.203197 0.374321 -0.10162 1.53579424018 1.23453187161
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq4/frame00180.png -137.399 0.136975 179.554 0.889269 -0.177155 0.38065 -0.0897757 1.09982907423 1.29036569135
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq12/frame00050.png -134.434 0.643395 191.645 -0.768282 0.16302 -0.608799 0.170481 0.466781322768 2.47767075725
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00161.png -137.331 0.059483 180.727 0.89543 -0.183002 0.38578 -0.00331695 1.81455353489 1.59134223061
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq2/frame00160.png -136.94 0.353768 180.188 0.896246 -0.186619 0.387331 -0.0150877 1.7274703012 1.16425757672
D:/_git/posenet/PoseNet_Dataset/StMarysChurch/seq1/frame00093.png -143.167 -0.244099 176.7 0.948643 -0.131575 0.251277 -0.0698757 1.10963634368 1.6548838982
