Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00064.png 26.3129 -52.2045 -33.403 0.764317 -0.0705755 0.651133 -0.0776192 2.04620856218 2.18599135928
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00067.png 27.0592 -51.6159 -34.5525 0.753519 -0.0442621 0.668322 -0.053674 1.25228724173 1.85015607534
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00066.png 26.8034 -52.0731 -34.5516 0.748254 -0.0416423 0.679931 -0.0288914 1.87430317833 2.63697877517
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00069.png 27.7913 -51.8182 -35.7467 0.767444 -0.0378729 0.659263 -0.0466932 1.30740535563 2.43121559916
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00068.png 26.7533 -51.4669 -35.3423 0.739119 -0.0501269 0.672814 -0.07076 1.07214389224 2.15228823278
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00070.png 28.3795 -51.5815 -35.9708 0.781701 -0.0563693 0.632815 -0.0478031 1.13282773336 2.07118383437
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00071.png 28.0392 -51.0394 -37.0376 0.779635 -0.0492775 0.631587 -0.0193746 1.19971225237 1.76912167608
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00072.png 29.6924 -52.1784 -38.039 0.782098 -0.0544017 0.639813 -0.048763 2.24652870581 2.49197195858
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00073.png 29.1582 -52.5616 -38.1902 0.781972 -0.0535109 0.633437 -0.0347357 1.64447195066 2.24621726816
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00065.png 26.729 -52.1013 -33.9302 0.731045 -0.0537775 0.693104 -0.051706 1.88473768056 2.29186018419
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00074.png 30.1187 -51.9643 -38.8373 0.799001 -0.0369837 0.59946 -0.0700939 1.78641177387 2.05852678164
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00075.png 30.8977 -51.5315 -38.5584 0.785259 -0.0470303 0.627958 -0.0831485 1.62532924024 1.58931490187
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00076.png 31.1131 -51.7414 -39.5905 0.808375 -0.0291291 0.600747 -0.0676955 1.50848534131 1.12754034043
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00077.png 31.49 -52.1074 -40.4688 0.784597 -0.0622355 0.630152 -0.0532035 1.80647142748 2.21200284419
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00078.png 32.2126 -52.06 -41.1699 0.787796 -0.0680185 0.630943 -0.0312624 2.05338427513 2.33671212506
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00079.png 32.5724 -51.4602 -42.3035 0.780062 -0.0550019 0.641371 -0.0354725 2.45946974065 2.94090683798
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00063.png 26.4455 -51.9743 -32.3108 0.790246 -0.0482078 0.62544 -0.0778184 1.89192445634 1.4827776542
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00062.png 25.7536 -52.1981 -31.8988 0.769157 -0.0570382 0.65067 -0.0880307 1.7697740756 1.85597984732
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00061.png 25.3038 -52.346 -30.9544 0.739886 -0.0535224 0.680539 -0.0931417 1.43163005165 2.21042796446
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00060.png 25.1685 -51.9659 -30.2843 0.717441 -0.0622508 0.697427 -0.0929316 1.4596731432 1.91507338965
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00059.png 24.3657 -52.3044 -29.6447 0.704534 -0.0471459 0.709811 -0.112104 1.2042269416 2.23942199697
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00058.png 24.5163 -52.0977 -28.9527 0.69104 -0.0520466 0.723234 -0.139436 1.37164132723 2.2323782059
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00178.png 25.5641 -51.9024 -30.2465 0.742062 -0.0687851 0.657552 -0.164602 1.93409044103 2.09830158978
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00179.png 25.1092 -51.388 -30.1481 0.733656 -0.0508557 0.658452 -0.189286 0.922834499094 1.11232104074
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00180.png 25.7902 -51.8931 -30.5285 0.723713 -0.06647 0.672102 -0.172145 0.940682746689 1.39635611458
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00177.png 24.9006 -51.7846 -29.227 0.746847 -0.0608498 0.651935 -0.163089 1.53883481104 1.88819667848
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00185.png 28.4316 -51.9328 -33.3912 0.756051 -0.0914747 0.652749 -0.125488 1.49613635141 1.77876929362
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00186.png 28.9844 -51.9905 -34.7549 0.779308 -0.0712872 0.626086 -0.134212 2.32120268043 1.7623855883
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00184.png 28.2886 -51.6956 -32.7198 0.740636 -0.0962614 0.667843 -0.1368 1.55718556475 1.95408819922
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00183.png 27.7169 -51.9654 -32.6439 0.708099 -0.0790194 0.708767 -0.138808 1.79745767148 2.42635496566
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00176.png 24.284 -51.8478 -28.7275 0.751084 -0.101799 0.649817 -0.159537 1.28778711985 1.21624709593
