Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00064.png 24.7173 -16.6765 -31.7037 0.742018 -0.0711337 0.660437 -0.0801814 0.371502409764 0.325440773283
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00067.png 26.0781 -16.5291 -33.6929 0.734365 -0.0442832 0.675449 -0.0546011 0.135895996652 0.338136932756
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00066.png 25.5939 -16.5363 -33.0574 0.72123 -0.0400015 0.687838 -0.0294162 0.124682015045 0.183459852563
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00069.png 26.9851 -16.5521 -34.5551 0.742903 -0.0346474 0.664323 -0.0479002 0.416704963687 0.294335391601
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00068.png 26.5065 -16.5698 -34.2939 0.724161 -0.0452542 0.681131 -0.0720978 0.0142571106688 0.247941526465
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00070.png 27.527 -16.5027 -34.9873 0.761097 -0.0587552 0.644688 -0.0483491 0.469216112409 0.520964554527
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00071.png 27.9233 -16.3654 -35.8695 0.762842 -0.0470656 0.638647 -0.0197995 0.334597301045 0.35072729395
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00072.png 28.4827 -16.5229 -36.5324 0.756564 -0.0545262 0.649233 -0.0499476 0.30674320816 0.320457415517
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00073.png 28.5107 -16.5637 -36.6803 0.761595 -0.0522952 0.644503 -0.0346951 0.345425452891 0.37705874168
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00065.png 25.4601 -16.5314 -32.5492 0.710468 -0.0520703 0.697045 -0.0523153 0.242649210502 0.393558161775
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00074.png 28.9424 -16.7265 -37.3992 0.785574 -0.037301 0.61116 -0.0721382 0.0911673006237 0.311446512827
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00075.png 29.8556 -16.5256 -37.8225 0.767854 -0.0464594 0.633002 -0.0829725 0.571527432322 0.349114034362
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00076.png 29.9918 -16.3322 -38.4 0.789963 -0.0290323 0.599396 -0.0659025 0.411694732396 0.384808015559
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00077.png 30.3446 -16.5326 -38.9026 0.763198 -0.0613643 0.64011 -0.054376 0.367748508399 0.361310513743
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00078.png 31.0627 -16.5428 -39.6165 0.764798 -0.0632681 0.639794 -0.0323492 0.268508316488 0.278787978296
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00079.png 31.4403 -16.3579 -40.117 0.751954 -0.0474397 0.653337 -0.0402071 0.204139462017 0.461647139104
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00063.png 24.9244 -16.5456 -31.057 0.768841 -0.0476543 0.626678 -0.0754836 0.364959692485 0.341861531646
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00062.png 24.8256 -16.6153 -30.6378 0.74697 -0.054112 0.652521 -0.0892955 0.461365309659 0.168964744517
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00061.png 24.2582 -16.8306 -29.7402 0.717994 -0.0515535 0.684804 -0.0966879 0.323158601871 0.358273908294
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00060.png 24.1307 -16.7855 -28.9656 0.696349 -0.0586847 0.707797 -0.09539 0.454628072152 0.773147604148
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00059.png 23.93 -16.9188 -28.3892 0.682766 -0.0487376 0.720229 -0.112523 0.290877608018 0.477040222932
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00058.png 23.5172 -16.8595 -27.8609 0.67 -0.0498747 0.729154 -0.138838 0.340788259116 0.427650184051
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00178.png 24.3263 -16.5675 -28.961 0.721607 -0.0696385 0.664407 -0.167757 0.280421373428 0.498238931432
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00179.png 24.606 -16.391 -29.4469 0.717209 -0.0499126 0.667329 -0.191764 0.257766838335 1.082772917
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00180.png 25.1864 -16.6526 -29.8746 0.706774 -0.066198 0.683545 -0.175293 0.28153500866 1.04138244206
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00177.png 23.5271 -16.521 -28.0678 0.724351 -0.0610258 0.665876 -0.164727 0.290641948807 1.08783308211
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00185.png 27.4857 -16.6055 -31.968 0.734611 -0.0887029 0.659297 -0.124986 0.303977794902 0.524107912991
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00186.png 27.7926 -16.3517 -32.5277 0.755575 -0.0731213 0.630085 -0.135828 0.422913179079 0.642122248951
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00184.png 26.7472 -16.424 -31.473 0.717944 -0.0929808 0.675567 -0.13874 0.464910736306 0.554317508303
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00183.png 26.614 -16.5772 -31.2828 0.682088 -0.0769092 0.713779 -0.137531 0.078943199902 0.144286167498
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00176.png 23.7677 -16.5573 -27.5113 0.730174 -0.101919 0.652865 -0.157966 0.225786942199 0.778249487129
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00039.png 27.2722 -16.4145 -30.4572 0.697285 -0.0360195 0.707449 -0.0927897 0.321988603154 0.476987994013
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00040.png 27.0977 -16.5665 -30.2569 0.688403 -0.0474058 0.71639 -0.1011 0.170021855755 0.413211724704
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00038.png 27.9792 -16.4798 -31.1958 0.718614 -0.0413764 0.679506 -0.114603 0.125902627844 0.552335556197
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00037.png 28.3246 -16.6076 -31.4913 0.731289 -0.0456005 0.668183 -0.100769 0.188535954583 0.506470892905
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00036.png 28.8535 -16.4419 -31.8867 0.750787 -0.0409076 0.64913 -0.0972226 0.326945414878 0.550410245514
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00035.png 29.081 -16.5298 -32.4534 0.739094 -0.0402104 0.664228 -0.085819 0.390648261783 0.419265338206
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00034.png 29.9362 -16.275 -32.9302 0.744785 -0.0419567 0.65532 -0.0955296 0.284774656665 0.497619357744
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00032.png 30.9554 -16.4556 -34.2721 0.743795 -0.049805 0.654918 -0.100087 0.141764745345 0.356973092538
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00033.png 29.9259 -16.5572 -33.8626 0.757367 -0.0419279 0.641782 -0.0916311 0.346337112595 0.433904571789
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00031.png 31.0145 -16.5401 -34.4961 0.754127 -0.0487985 0.642709 -0.102976 0.324532116687 0.411418659411
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00030.png 31.5664 -16.5548 -35.5382 0.740513 -0.0355131 0.661905 -0.0897301 0.310436582116 0.421361350768
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00029.png 32.1224 -16.4195 -35.5208 0.751299 -0.053875 0.646078 -0.102179 0.436225383858 0.415020200559
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00198.png 33.5492 -16.4719 -35.6856 0.771108 -0.0314969 0.632279 -0.0454344 0.409451293038 0.24139621817
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00197.png 32.9625 -16.4363 -35.5485 0.789905 -0.045777 0.602271 -0.0658127 0.151424002155 0.268376302088
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00199.png 34.5279 -16.6078 -35.6183 0.757839 -0.0448956 0.645944 -0.0544684 0.312693522601 0.384651313074
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00200.png 34.9439 -16.4927 -35.8122 0.743154 -0.0363617 0.664555 -0.0518414 0.322207676159 0.343633201996
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00201.png 35.7211 -16.5485 -35.9192 0.73267 -0.0321662 0.674316 -0.0610469 0.260324150438 0.250298046222
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00202.png 36.1814 -16.4803 -36.6038 0.72998 -0.0220312 0.676493 -0.0710927 0.311779898554 0.29866921595
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00203.png 36.8063 -16.6312 -36.5804 0.741441 -0.0138193 0.665503 -0.0610391 0.216704585368 0.257009205579
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00204.png 37.4654 -16.7058 -36.6776 0.740102 -0.0261141 0.667059 -0.0598902 0.202473418454 0.225495482186
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00043.png 25.6463 -16.6768 -29.0173 0.667589 -0.0373312 0.740348 -0.0755132 0.255774541033 0.222964476815
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00042.png 26.072 -16.6639 -29.4381 0.666697 -0.026465 0.742016 -0.0891129 0.271269436556 0.353283320128
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00044.png 24.7446 -16.6269 -28.1521 0.685119 -0.0349391 0.719238 -0.0929739 0.31017014883 0.447669342448
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00045.png 24.553 -16.6907 -27.7696 0.658011 -0.0266819 0.746203 -0.101083 0.0936039332998 0.224152455817
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00046.png 24.2516 -16.6701 -27.2863 0.660172 -0.0343942 0.745225 -0.0894885 0.0592795957075 0.621061032844
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00041.png 26.6705 -16.6701 -29.788 0.643643 -0.044355 0.761518 -0.102908 0.254934624014 0.225118570192
