Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00064.png 25.1584 -201.764 -32.3437 0.74305 -0.0684285 0.662335 -0.0788543 0.424205552047 0.490185464387
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00067.png 26.4275 -202.184 -33.9604 0.735022 -0.0408581 0.67914 -0.0540362 0.732050979852 0.53220099293
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00066.png 25.5817 -202.427 -33.2572 0.722481 -0.0389126 0.698704 -0.0263461 0.846650284597 0.977455454943
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00069.png 27.2179 -202.887 -35.3317 0.746182 -0.0329231 0.675558 -0.0473687 1.38204859575 0.620300369173
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00068.png 26.8565 -201.971 -34.0754 0.720614 -0.0410119 0.69252 -0.0721973 0.58657439319 1.12529689305
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00070.png 28.0225 -202.644 -35.328 0.764661 -0.0558551 0.650514 -0.0471512 1.22074006303 0.752634058759
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00071.png 27.9411 -202.392 -36.4874 0.763222 -0.0422227 0.651013 -0.0197934 0.921975359385 1.28201883098
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00072.png 28.5493 -202.625 -36.6818 0.756824 -0.0510676 0.657824 -0.0494313 1.12033271754 0.966527870844
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00073.png 28.5663 -202.629 -36.6871 0.759709 -0.0472525 0.656912 -0.0350888 1.02059658113 1.49813079273
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00065.png 25.8911 -201.85 -32.7986 0.704076 -0.0520486 0.709724 -0.0507363 0.565716635923 1.21512785893
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00074.png 29.3051 -202.339 -37.6234 0.782879 -0.0317667 0.618253 -0.0707194 0.696071603678 0.901306409326
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00075.png 29.8933 -201.723 -38.0016 0.765037 -0.0419395 0.641128 -0.0842026 0.516999685685 1.10392278658
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00076.png 30.4228 -202.067 -38.8568 0.793008 -0.0243648 0.608306 -0.0672702 0.625561326859 0.691578629551
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00077.png 30.6979 -202.319 -39.4238 0.763127 -0.0582874 0.647498 -0.0538098 0.790590610371 0.914425525946
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00078.png 31.3883 -202.01 -39.8488 0.762429 -0.063704 0.648201 -0.0297622 0.654641810187 1.06555134302
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00079.png 31.439 -201.835 -40.5779 0.748939 -0.0484575 0.664503 -0.036265 0.542562079908 1.46364779557
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00063.png 25.3621 -202.21 -31.0683 0.773619 -0.0451637 0.635461 -0.0755166 0.676232342234 0.626158777749
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00062.png 24.9893 -202.163 -30.8745 0.75004 -0.0536399 0.659304 -0.0893942 0.582466324477 0.352933072831
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00061.png 24.7677 -201.499 -30.0277 0.715257 -0.0493839 0.688916 -0.0959258 0.662975042205 0.587706364657
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00060.png 24.4651 -201.676 -29.5194 0.698346 -0.0559792 0.708011 -0.0952211 0.539975051226 0.612987009186
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00059.png 24.1384 -201.753 -28.5338 0.682224 -0.0467972 0.722252 -0.112987 0.325471822795 0.642685718052
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq8/frame00058.png 23.9567 -201.926 -27.827 0.665848 -0.0464888 0.732941 -0.141733 0.624629391096 0.725482357104
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00178.png 24.9832 -202.842 -29.3573 0.725556 -0.0650142 0.672014 -0.170864 1.49178446051 0.660459524521
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00179.png 25.5978 -202.884 -30.5186 0.724878 -0.0451206 0.66929 -0.19197 2.13628397064 0.736929348195
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00180.png 25.9343 -202.523 -30.4012 0.707472 -0.0614048 0.686307 -0.17618 1.35991303039 1.24912451836
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00177.png 24.3552 -202.129 -28.828 0.733358 -0.058355 0.665131 -0.165085 1.03080291964 0.367935788032
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00185.png 28.3132 -202.176 -32.7346 0.737095 -0.0857053 0.663548 -0.122755 1.09645622841 0.793407200516
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00186.png 28.817 -202.614 -33.7405 0.764622 -0.071472 0.635953 -0.134252 1.69015340499 0.671019724383
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00184.png 28.0598 -202.055 -32.0659 0.719652 -0.0910022 0.678396 -0.138064 1.12875341331 0.671308848665
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00183.png 26.8795 -201.962 -31.8097 0.681922 -0.0762246 0.717938 -0.136599 0.682872652329 0.507475737635
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq6/frame00176.png 24.279 -202.685 -27.6805 0.737028 -0.101938 0.65635 -0.157961 1.18124782035 0.676385826359
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00039.png 27.3105 -202.022 -30.6175 0.695311 -0.0318248 0.717717 -0.0956283 0.444129985905 1.0667081256
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00040.png 27.0139 -201.618 -30.3113 0.683245 -0.0426758 0.723421 -0.10276 0.141821539191 1.23813847052
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00038.png 28.6125 -202.258 -31.9727 0.720659 -0.0345636 0.688478 -0.117004 1.1565442168 0.807320657831
D:/_git/posenet/PoseNet_Dataset/KingsCollege/seq5/frame00037.png 29.2371 -202.634 -32.0224 0.737463 -0.0409183 0.673823 -0.102688 1.35643921725 0.344672997244
