Visual Landmark Dataset V1
ImageFile, Camera Position [X Y Z W P Q R]

D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00065.png -173.493 -1.19099 -36.5421 0.597886 0.00111075 0.812389 -0.00779233 2.54058309376 2.45985067918
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00066.png -172.657 -1.16115 -36.7683 0.615908 0.0036722 0.784187 -0.0160581 3.76060440463 2.00469149669
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00064.png -174.014 -1.23661 -34.9407 0.589333 -0.000282224 0.809657 -0.0250164 2.63729469026 2.92893926923
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00063.png -171.171 -1.19302 -35.8297 0.587518 -0.00940982 0.80951 -0.0132504 4.3025436184 0.386648079842
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00062.png -173.142 -1.20915 -33.524 0.570941 -0.00235147 0.829866 -0.0142998 2.9711427853 1.96747551277
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00061.png -171.647 -1.29803 -32.9963 0.550007 -0.00535535 0.837108 -0.0285708 4.17501574515 1.27922993351
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00060.png -172.289 -1.28181 -34.3941 0.541722 -0.011172 0.840521 -0.0306388 3.45161944966 1.09415496069
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00059.png -172.903 -1.20638 -33.609 0.532183 -0.00190822 0.856757 -0.0143173 2.71947031319 0.894250573859
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00058.png -172.335 -1.18668 -31.165 0.553137 -0.011751 0.842764 -0.0261649 3.30798636665 2.13905893654
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00067.png -174.63 -1.21183 -37.427 0.529802 -0.0136232 0.845891 -0.0202298 1.76842338187 1.71472105256
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00057.png -172.713 -1.2064 -30.7313 0.618404 0.000285719 0.799719 -0.0313412 3.13954090528 1.22569574482
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00056.png -173.498 -1.28988 -30.1561 0.658337 -0.0165384 0.779894 -0.038832 2.50305519773 2.20618185995
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00052.png -173.055 -1.08151 -29.054 0.633817 0.00454731 0.78439 -0.0229505 3.55763678323 1.20195972226
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00053.png -173.226 -1.26188 -29.1427 0.650651 0.00431675 0.77124 -0.0282361 2.91323523169 1.24935292486
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00054.png -173.117 -1.27773 -28.2805 0.681747 -0.00867049 0.734658 -0.0396299 3.12419595548 1.61007989029
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00055.png -173.575 -1.4527 -30.4433 0.719962 -0.0121344 0.702676 -0.0262662 2.06554391254 0.640395204761
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00051.png -173.785 -1.15587 -27.474 0.610465 0.00383616 0.80202 -0.0166336 3.20059641853 0.953622101706
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00050.png -173.172 -1.21599 -26.3068 0.532917 5.088e-05 0.852367 -0.0291629 3.98636225957 1.10946126399
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00049.png -173.831 -1.28915 -26.6707 0.48575 0.0106266 0.876937 -0.021415 3.40886154681 0.818410857218
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00373.png -172.205 -1.17577 -24.1764 0.700953 -0.00660321 0.712852 -0.130797 3.98208016899 4.63838815348
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00048.png -174.156 -1.32851 -25.8769 0.438655 0.0085048 0.90701 -0.0496095 3.54888190315 1.04582653394
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00068.png -172.451 -1.25774 -38.9503 0.453575 0.00121433 0.889725 -0.0184084 3.49730524975 1.50311715547
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00047.png -177.476 -1.36763 -24.4441 0.361739 -0.00201115 0.940242 -0.0311556 0.971516607904 1.18237102448
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00069.png -173.925 -0.979303 -39.987 0.359128 -0.0114875 0.932987 -0.0078958 2.21529385545 1.60349029262
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00070.png -173.916 -1.09881 -39.7955 0.283142 -0.00333279 0.956955 -0.000955688 2.32883024915 3.91027860867
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00071.png -174.193 -1.12435 -42.4823 0.182636 -0.00274866 0.99285 0.00400771 2.54756031015 4.45414423434
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00077.png -173.748 -1.20133 -44.6356 0.215017 0.00519096 0.982808 -0.00044345 1.5217431939 5.87909604508
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00084.png -177.056 -1.20438 -48.7907 0.200721 0.0049531 0.994681 -0.0139171 2.01585959008 3.48173289329
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00085.png -175.469 -1.14283 -50.2833 0.163331 0.00717079 0.989157 -0.00741272 0.465727617442 3.15131661556
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00083.png -176.704 -1.07909 -49.8954 0.292861 -0.00399136 0.966899 -0.0249336 1.06574522021 3.94050264765
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00086.png -173.565 -1.37914 -49.832 0.0818712 0.012054 1.00829 -0.0113964 2.90924793386 2.24342684827
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00092.png -179.236 -1.24077 -54.3642 0.024309 0.0107717 1.01922 -0.0210875 0.845873558794 4.36355260437
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00093.png -177.638 -1.18288 -54.5519 0.186741 -0.00154873 0.996981 -0.0201035 1.23717474712 1.23094006011
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00094.png -179.251 -1.17807 -53.4006 0.260414 -0.000548973 0.9687 -0.0331172 2.64132587062 7.48765508054
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00078.png -173.41 -0.936849 -43.8585 0.382097 0.00156027 0.917851 -0.00173338 2.58760903342 3.91796035615
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00082.png -175.811 -0.981792 -48.5652 0.372784 -0.0118561 0.932365 -0.019153 0.705507165608 4.05908181538
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00076.png -173.925 -1.31157 -45.0931 0.0586244 0.00962981 1.00727 0.00414026 1.06263776621 4.70377623738
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00072.png -178.028 -1.29115 -44.7439 0.0680567 0.000880977 1.01661 0.00966241 4.17999595497 3.61400764683
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00095.png -178.395 -1.08828 -52.7398 0.392266 -0.0111823 0.924156 -0.0285663 3.99891035618 6.95751736808
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00096.png -176.292 -1.15812 -54.8636 0.508093 -0.00578398 0.863581 -0.0132157 3.09173924052 5.3646467793
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00097.png -175.058 -1.09035 -57.886 0.571843 -0.0211409 0.833367 -0.0162128 3.52573209116 3.10712319414
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00098.png -176.559 -1.0887 -57.4952 0.607621 -0.0198464 0.802196 -0.00673656 2.64922392716 2.55334551192
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00099.png -175.066 -1.173 -58.2205 0.654481 -0.0216931 0.77997 -0.0223604 3.68247539507 2.6472371203
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00374.png -174.025 -1.36767 -24.6472 0.462962 0.0248275 0.891642 -0.14235 1.69310587153 1.38854973752
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00375.png -176.623 -0.921801 -24.4912 0.201027 0.0638871 0.982021 -0.140643 1.87134281361 1.22486974027
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00046.png -175.211 -1.35403 -23.3961 0.303259 -0.00635152 0.957912 -0.0305039 3.07184179089 2.00088333264
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00045.png -177.906 -1.2854 -23.4655 0.271899 -0.00673681 0.956266 -0.0198666 0.453862041854 2.64147948809
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00044.png -176.969 -1.40206 -22.6156 0.305677 -0.00924111 0.953479 -0.0255689 1.48311436461 2.14893625029
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00363.png -172.604 -1.60644 -19.6864 0.411678 0.0195454 0.913543 -0.123615 4.71109202059 0.917551198664
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00361.png -174.946 -1.15603 -20.0178 0.674658 -0.0234327 0.732654 -0.095888 2.79981198897 2.1272046129
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00075.png -175.415 -1.39991 -40.9003 -0.0128815 0.00626899 1.01565 0.00938721 3.07020246508 0.54939488467
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00073.png -177.392 -1.28669 -42.9151 -0.0379076 0.00034797 1.01765 0.0078962 1.50400473891 2.18928243583
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00074.png -175.77 -1.32915 -42.8215 -0.129344 -0.00935922 1.00626 0.00766093 0.472211859243 4.07375519136
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00087.png -172.4 -1.36794 -48.9304 -0.0731459 0.0243708 1.00933 -0.0110125 4.7589456023 1.30768499828
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00042.png -176.773 -1.40634 -21.4158 0.361691 -0.00218898 0.93685 -0.0112281 1.78315016659 1.09725650721
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00364.png -176.05 -1.54533 -19.84 0.29611 0.0374656 0.96365 -0.117288 1.66747756149 0.78084621627
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00041.png -174.433 -1.33536 -20.9144 0.420885 -0.00447231 0.911349 -0.0230967 4.15283119645 1.14531851433
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00384.png -172.438 -1.63717 -23.9178 0.490094 -0.0467851 0.89889 -0.103963 1.6290479268 3.30586581887
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00081.png -174.501 -1.07192 -47.9749 0.503329 -0.00867518 0.877732 0.000877501 1.14013529997 3.44055677643
D:/_git/posenet/PoseNet_Dataset/GreatCourt/seq5/frame00080.png -173.408 -1.12746 -46.9603 0.567894 -0.0141053 0.837758 -0.00630654 2.22331640562 3.38029582477
